1039_s_at,1091_at,120_at,1321_s_at,1336_s_at,1427_g_at,1470_at,1558_g_at,1602_at,1603_g_at,1606_at,1649_at,1650_g_at,166_at,1704_at,1708_at,1709_g_at,1737_s_at,1747_at,1751_g_at,1786_at,1814_at,184_at,1988_at,2009_at,232_at,280_g_at,286_at,31330_at,31342_at,31386_at,31590_g_at,31719_at,31720_s_at,31773_at,31814_i_at,31834_r_at,31858_at,31870_at,31886_at,31996_at,32030_at,32062_at,32093_at,32109_at,32184_at,32287_s_at,32321_at,32393_s_at,32522_f_at,32531_at,32566_at,32647_at,32680_at,32718_at,32745_at,32749_s_at,32849_at,33033_at,330_s_at,33103_s_at,33131_at,33133_at,33206_at,33242_at,33272_at,33293_at,33327_at,33352_at,33412_at,33441_at,33466_at,33580_r_at,33782_r_at,33813_at,33829_at,33854_at,33901_at,33942_s_at,33993_at,34086_at,34088_at,34281_at,34316_at,34362_at,34690_at,34767_at,34768_at,34847_s_at,34889_at,35151_at,35182_f_at,35185_at,35231_at,35242_at,35297_at,35352_at,35422_at,35649_at,35663_at,35669_at,35704_at,35714_at,35903_at,35909_at,36073_at,36091_at,36119_at,36134_at,36148_at,36180_s_at,36753_at,36764_at,36766_at,36881_at,36899_at,36921_at,36925_at,36979_at,36993_at,37099_at,37140_s_at,37259_at,37351_at,37360_at,37410_at,37588_s_at,375_at,37640_at,37701_at,37716_at,37782_at,37841_at,37849_at,37918_at,38115_at,38118_at,38121_at,38286_at,38313_at,38391_at,38397_at,38403_at,38440_s_at,38516_at,38545_at,38604_at,38656_s_at,38701_at,38752_r_at,38774_at,38784_g_at,38790_at,38833_at,38967_at,39002_at,39008_at,39038_at,39051_at,39054_at,39166_s_at,39268_at,39345_at,39356_at,39364_s_at,39395_at,39542_at,39588_at,39611_at,39649_at,39693_at,39721_at,39754_at,39850_at,40078_at,40232_at,40388_at,40462_at,40476_s_at,40512_at,40544_g_at,41098_at,41193_at,41202_s_at,41275_at,41401_at,41430_at,41689_at,41734_at,41779_at,41870_at,41871_at,479_at,503_at,598_at,755_at,769_s_at,824_at,915_at,AFFX-HUMISGF3A/M97935_MA_at,label
157.37,236.5,32.62,10.0,27.91,87.76,254.77,25.22,67.92,77.9,145.37,178.44,352.95,73.08,22.53,114.77,89.22,81.37,37.89,10.0,48.65,97.29,80.48,10.0,27.8,97.29,10.0,98.07,1593.5,12.78,71.29,333.0,447.33,462.24,71.62,10.0,239.86,59.41,196.93,10.0,10.0,16.25,189.76,14.57,284.92,106.03,10.0,317.2,46.85,10.0,804.54,138.87,56.04,55.82,81.04,100.99,1015.7,20.85,64.56,23.65,217.11,147.28,38.22,194.35,36.76,99.2,129.01,52.57,67.59,1039.8,273.49,16.25,12.22,26.9,119.48,150.31,80.03,54.47,297.02,37.66,19.62,94.38,72.74,22.75,107.26,81.6,36.76,169.81,43.83,113.54,191.78,23.2,460.33,64.56,39.9,258.24,274.38,25.78,249.84,26.23,74.65,78.46,76.33,137.19,13.67,87.09,244.68,21.3,74.42,445.42,50.77,134.84,10.0,74.65,102.11,140.55,138.31,162.41,78.35,73.19,296.91,103.01,29.48,154.0,59.29,20.85,82.16,100.54,41.81,41.92,90.45,32.84,107.83,170.14,168.46,212.4,211.39,64.11,242.1,81.71,256.56,37.44,65.01,224.62,60.53,57.95,24.66,42.93,124.53,1050.9,98.19,64.11,98.97,1162.4,93.14,10.0,41.81,26.12,10.0,148.51,202.42,10.0,705.24,26.56,19.62,161.29,472.32,48.42,64.45,173.62,51.56,30.04,93.48,52.57,23.87,44.39,162.07,10.0,41.14,167.45,272.03,312.27,43.15,442.51,36.65,327.51,87.54,31.83,68.71,68.93,276.29,415.05,47.75,712.19,10.0,43.83,1827.4,33.51,68.93,36.09,1
24.09,338.9,22.95,10.0,106.46,29.63,122.25,54.53,17.25,46.23,31.9,64.95,10.0,128.43,37.93,121.76,57.62,73.09,10.0,13.35,64.3,45.58,60.88,19.05,41.35,57.46,10.0,195.66,679.11,50.79,89.53,213.56,93.43,200.22,66.9,76.18,22.95,50.95,187.03,10.0,46.88,31.58,10.0,101.41,231.14,35.65,45.58,310.42,10.0,29.95,140.97,63.97,37.6,51.11,10.0,27.67,466.03,12.7,184.75,87.25,96.85,75.69,10.0,207.54,22.46,29.79,331.74,224.96,153.34,279.98,10.0,55.51,13.35,122.25,127.13,107.27,37.6,73.09,816.82,17.25,46.72,10.0,401.74,22.63,137.87,44.93,48.67,24.74,101.57,114.11,92.13,38.58,486.38,63.48,65.44,171.57,279.0,140.64,10.0,38.74,172.22,154.31,76.99,202.98,10.0,108.9,37.76,17.91,204.94,1017.0,50.3,81.06,36.79,29.14,10.0,157.73,76.99,139.83,113.62,31.25,97.67,10.0,95.88,11.07,468.8,65.11,228.87,96.04,56.81,51.28,95.71,109.87,35.81,170.59,63.0,55.34,165.38,10.0,175.96,342.16,106.78,35.81,31.42,52.74,184.1,57.95,77.48,19.37,91.64,661.53,42.32,61.37,102.55,667.23,54.86,10.0,31.74,10.0,262.72,196.47,117.85,10.0,400.6,21.49,83.34,453.82,1039.2,55.51,76.83,202.5,46.88,49.97,39.56,45.09,10.0,15.46,320.83,10.0,40.04,179.71,208.52,168.64,30.6,90.02,35.32,28.32,74.23,127.45,55.02,19.7,10.0,58.11,25.56,234.4,119.8,41.02,909.11,74.72,53.39,56.81,1
10.0,66.6,19.2,10.0,19.0,10.0,44.9,13.2,11.2,13.7,10.0,11.7,10.0,10.0,36.2,26.7,23.5,99.2,10.0,14.6,12.9,10.2,13.9,67.7,10.0,13.3,16.3,25.1,108.4,11.4,10.0,17.7,86.5,137.9,10.0,10.0,12.2,10.0,10.0,10.0,12.3,10.0,53.2,10.0,10.0,19.6,30.3,40.7,16.1,10.0,10.0,14.3,12.0,41.3,10.0,10.0,74.6,10.0,72.9,10.0,17.7,82.8,10.0,71.1,12.2,10.0,104.4,10.0,15.0,24.1,14.7,12.9,10.0,26.1,32.8,10.0,10.0,10.0,155.9,10.2,19.7,41.4,10.0,10.0,10.0,14.5,10.0,10.0,18.8,10.0,10.0,10.0,28.8,10.0,10.0,32.3,74.9,95.6,10.0,10.0,13.6,10.0,10.0,40.7,39.7,27.9,10.0,16.0,73.0,116.9,22.4,10.0,10.0,10.0,10.0,44.2,10.0,10.0,17.6,10.0,10.0,17.8,10.0,54.5,39.1,16.4,38.5,28.7,10.2,10.0,10.0,10.0,46.0,111.3,10.0,10.0,67.5,10.0,10.0,22.3,10.0,10.0,10.0,11.4,10.0,12.3,10.7,10.0,23.1,144.9,17.7,32.7,10.0,173.1,10.0,10.0,13.1,10.0,10.0,10.0,49.3,10.0,33.4,10.0,30.6,131.8,58.7,10.0,45.4,10.0,10.0,10.0,10.0,25.3,17.6,10.0,19.3,10.0,14.5,17.1,248.7,57.4,13.8,10.0,12.8,12.6,10.0,17.1,10.0,10.0,10.0,10.0,15.7,27.5,10.0,10.0,266.4,10.0,18.8,19.9,0
202.18,85.88,30.42,28.06,20.09,40.5,100.76,15.14,39.74,32.13,48.76,72.93,111.21,19.72,10.0,24.38,20.74,109.72,27.37,98.18,54.22,36.61,40.9,15.47,17.25,81.77,34.83,63.25,1247.1,23.51,34.13,128.49,446.29,437.19,45.78,10.0,34.9,25.87,56.84,10.0,11.43,20.85,42.14,10.0,10.0,59.86,10.0,203.31,24.82,10.0,132.75,132.68,50.36,10.0,35.92,33.88,704.88,18.56,10.0,31.11,10.0,79.08,35.37,38.25,14.37,88.21,72.82,10.0,15.65,872.89,10.0,12.45,10.0,10.0,88.17,47.74,39.45,48.25,90.83,32.06,51.71,48.0,10.0,13.21,20.27,10.0,21.73,61.17,29.62,53.49,73.69,10.0,1010.0,42.54,19.8,74.78,86.57,10.0,11.9,10.0,14.74,19.51,24.45,11.28,46.36,10.0,33.48,39.08,33.48,169.62,33.7,33.7,10.0,25.22,21.11,24.86,61.06,20.05,149.86,51.6,168.96,11.72,10.0,21.76,112.19,10.0,12.59,36.72,17.69,76.13,20.23,10.0,31.01,27.29,39.63,50.95,172.45,269.62,28.24,13.87,131.41,11.39,45.93,59.43,19.43,41.63,10.0,16.27,16.89,390.58,27.37,57.06,26.49,727.59,50.26,38.25,18.92,52.15,10.0,26.89,317.94,10.0,391.92,20.71,10.77,103.17,142.43,16.38,10.37,55.6,27.88,34.61,33.22,11.35,10.0,30.28,30.24,23.65,10.0,20.49,16.56,17.87,56.91,69.76,22.09,127.55,28.42,11.43,18.92,21.8,138.43,184.79,30.68,292.8,67.03,29.19,1149.7,26.09,45.74,56.91,0
35.55,426.75,10.0,10.0,220.23,10.0,10.0,50.54,11.21,10.0,25.07,49.66,50.14,17.41,35.55,110.36,115.68,31.52,10.0,76.5,44.58,44.34,38.05,10.0,54.98,11.53,10.0,27.33,104.71,23.22,12.98,25.39,44.01,75.29,116.08,39.5,25.07,10.0,41.19,10.0,47.64,10.0,71.34,129.38,70.78,28.86,10.0,84.64,10.0,10.0,210.64,29.42,40.39,48.77,10.0,10.0,100.52,10.0,111.32,27.25,84.96,10.64,10.0,150.26,23.3,10.0,348.48,534.13,47.24,43.37,10.0,84.32,35.71,43.29,14.67,13.06,40.47,33.7,721.55,27.09,56.91,39.82,513.33,10.0,70.05,72.15,71.42,10.0,127.61,136.55,10.0,19.99,72.15,12.98,88.51,35.07,208.62,60.06,10.0,52.72,186.37,108.82,10.0,229.34,10.0,51.03,21.2,19.83,281.57,1065.4,14.51,10.0,48.85,10.0,10.0,135.75,48.45,331.07,94.32,50.14,10.0,25.72,153.97,66.83,151.31,18.78,211.04,11.45,52.56,10.0,163.8,67.79,10.0,81.9,10.0,48.53,63.76,10.0,103.34,538.08,10.0,10.0,33.86,10.0,205.72,10.0,34.58,10.0,15.16,106.16,75.86,12.33,35.07,81.66,11.93,10.0,14.59,10.0,118.34,141.96,27.89,10.0,80.37,29.26,36.52,261.42,858.43,12.66,49.66,47.8,32.65,10.0,22.01,72.95,10.0,36.6,118.98,10.0,10.48,370.73,39.66,310.27,17.01,118.42,10.0,10.08,93.43,83.43,29.83,11.93,10.0,17.73,10.0,23.54,56.03,105.76,258.36,10.0,30.23,23.38,0
98.77,10.39,99.74,23.71,38.02,10.93,28.34,17.73,10.0,10.0,10.0,24.15,26.7,11.04,47.43,47.59,37.91,103.66,11.75,51.89,30.73,63.47,18.17,82.61,10.0,154.57,16.91,48.46,240.17,36.33,35.51,35.08,840.11,1138.6,56.67,37.74,10.0,15.61,21.65,14.79,13.11,24.09,19.09,30.13,27.9,83.27,145.86,83.86,12.62,10.0,87.56,107.74,27.57,19.04,17.68,10.0,541.85,48.57,40.36,10.0,19.58,59.28,19.85,81.96,10.0,10.0,103.17,33.23,95.61,154.89,15.12,23.28,21.86,108.61,65.81,31.44,19.09,45.2,193.45,42.91,48.24,48.89,10.0,10.0,54.82,51.5,36.11,76.69,19.8,108.45,25.29,21.48,418.18,44.6,26.65,38.07,162.56,78.7,15.39,11.15,87.24,17.4,10.0,62.0,139.56,53.03,11.31,59.39,181.49,181.11,52.7,19.85,10.0,10.5,10.0,170.99,44.11,10.0,142.98,273.35,52.76,22.08,10.0,18.17,61.13,16.86,26.16,10.82,18.6,21.54,56.67,10.0,56.56,61.89,35.95,25.07,260.62,30.89,49.38,49.06,22.35,10.0,11.31,29.75,16.81,42.15,10.0,10.0,10.0,10.0,70.21,40.36,18.17,160.98,20.23,15.94,10.0,43.89,10.0,91.75,378.42,10.0,165.33,10.0,10.01,238.05,171.32,13.92,10.0,78.21,27.14,13.16,41.93,31.06,10.0,10.0,65.92,23.66,17.13,14.63,100.67,55.37,64.5,148.26,36.71,45.63,44.0,26.81,26.6,41.5,19.85,120.14,25.62,79.24,10.0,38.56,500.41,10.0,11.75,38.4,0
64.44,16.23,17.22,10.0,18.28,10.0,291.55,25.01,25.25,33.04,10.0,12.46,10.0,12.71,32.39,26.15,19.43,455.28,10.0,80.92,10.0,10.0,19.76,52.39,11.89,51.41,10.0,102.98,329.18,12.79,24.92,41.08,221.53,285.56,46.08,28.29,41.9,26.4,10.0,10.0,50.59,14.18,120.93,44.27,17.38,10.0,106.09,16.81,38.86,35.42,10.0,10.0,38.78,23.86,18.04,18.78,232.19,123.06,67.8,11.23,49.19,146.76,32.96,70.43,12.87,10.0,102.16,32.06,52.14,385.1,10.0,28.37,43.13,10.0,33.21,10.0,25.42,90.02,487.91,27.96,49.6,70.35,12.95,10.0,12.63,48.95,36.48,75.1,30.17,72.81,143.23,37.39,10.0,55.34,21.48,37.22,33.94,27.63,10.0,911.21,10.0,11.23,14.02,10.0,10.0,64.2,10.0,10.0,260.72,306.8,69.12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,35.75,39.6,10.0,49.6,10.0,11.81,351.4,80.43,122.49,10.0,92.24,10.0,33.45,12.38,37.22,12.46,10.0,24.76,88.63,44.93,36.32,30.17,44.68,10.0,10.0,22.55,27.3,10.0,18.86,134.05,33.37,86.58,10.0,10.0,12.46,28.45,36.57,44.85,10.0,10.0,10.0,16.4,118.55,10.0,77.89,75.92,14.35,43.45,437.08,10.0,55.42,85.43,10.0,10.0,10.0,14.92,10.0,12.79,41.57,11.31,91.01,37.3,133.23,18.61,10.0,11.23,10.0,90.19,41.9,12.95,12.95,51.98,37.71,148.07,10.0,58.54,12.38,10.0,796.59,17.3,10.0,42.72,0
60.64,10.0,18.66,17.63,20.95,17.26,45.44,14.98,10.0,11.29,10.0,117.0,194.54,10.0,10.7,30.54,17.41,56.21,25.23,127.7,53.63,43.23,13.94,50.98,10.0,52.67,15.35,24.79,277.68,24.35,10.0,53.56,169.16,231.57,33.79,41.09,39.99,10.0,54.0,24.86,35.63,10.0,75.4,17.19,106.67,64.77,10.0,86.76,10.92,17.41,164.0,20.58,10.0,31.65,12.17,10.0,165.69,32.02,38.66,10.0,16.3,46.62,23.61,138.18,10.0,10.0,52.38,21.62,22.21,39.62,40.28,26.48,39.54,49.28,38.29,10.0,12.62,14.9,116.41,10.85,12.98,44.93,10.0,10.0,56.58,10.0,22.72,49.43,28.48,70.9,20.29,32.02,378.01,18.15,23.53,26.71,187.75,30.25,10.0,19.4,58.87,21.25,10.0,44.12,12.25,30.25,37.33,35.41,44.93,151.16,28.99,31.8,10.0,10.0,10.0,60.42,16.6,54.15,16.45,55.7,23.31,30.1,21.54,10.0,91.99,26.48,31.72,10.85,10.0,10.0,18.15,10.0,39.32,26.19,23.16,23.16,55.4,24.05,71.04,71.56,30.84,10.0,10.0,19.85,39.69,82.18,10.0,10.0,42.2,112.95,51.35,18.81,10.0,158.91,13.8,46.48,11.21,10.0,10.0,249.35,83.44,10.0,164.07,13.28,31.5,10.0,127.92,27.0,13.5,23.68,10.0,10.0,31.72,32.83,10.0,17.34,10.77,42.2,10.4,38.07,142.68,117.74,53.34,328.51,19.26,13.5,22.28,15.49,23.39,12.62,54.52,222.35,19.26,34.6,10.0,23.16,362.3,10.0,37.55,49.58,0
45.98,96.65,10.0,10.0,11.21,10.0,40.0,10.0,11.21,13.65,10.0,20.58,10.0,21.94,28.73,22.68,23.91,28.25,10.0,33.69,15.08,10.0,20.85,121.98,10.0,10.0,32.4,19.56,176.79,10.66,10.0,20.04,28.87,73.83,10.0,10.0,81.02,10.0,10.0,10.0,20.17,10.0,20.31,10.0,10.0,12.43,117.36,17.59,10.0,10.0,10.0,73.55,10.0,21.05,10.0,14.53,94.81,10.0,78.58,13.86,49.44,140.11,10.0,46.86,13.18,10.0,156.0,10.0,12.84,32.33,10.0,10.87,10.0,10.0,18.07,10.0,10.0,10.0,139.16,10.0,21.73,55.28,10.0,10.0,33.89,46.05,10.0,10.0,10.0,19.76,10.0,10.0,10.0,10.0,10.0,35.45,64.79,65.68,10.0,10.0,10.0,10.0,10.0,132.03,39.94,18.34,10.0,10.0,35.66,59.63,33.14,10.0,10.0,10.0,10.0,46.05,10.0,10.0,26.69,10.0,10.0,15.96,10.0,16.91,94.06,20.04,46.39,29.07,10.0,10.0,17.25,10.0,30.02,123.2,10.0,10.0,36.68,23.7,48.36,32.06,10.0,10.0,10.0,16.64,16.3,10.0,17.12,10.0,26.49,415.92,13.92,31.72,10.39,165.99,13.11,41.36,15.69,10.0,10.0,10.0,40.41,10.0,20.78,10.0,10.0,29.75,81.3,10.0,24.25,81.7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.87,10.0,85.17,82.59,10.0,30.22,10.0,10.73,15.08,14.67,10.6,10.0,10.0,10.0,27.85,32.94,124.9,10.0,209.32,10.0,12.63,10.0,0
140.79,60.12,42.35,36.03,14.42,17.49,145.1,14.24,15.89,37.18,10.0,68.18,92.81,10.0,37.91,40.02,27.75,99.77,10.0,27.38,26.37,17.95,50.14,65.84,24.27,84.75,17.03,44.78,851.89,32.0,19.83,467.75,342.98,510.28,10.0,10.0,36.9,35.03,38.87,18.77,19.96,10.0,36.81,10.0,78.25,70.19,10.0,186.67,27.33,10.0,164.87,80.17,16.71,10.0,58.19,19.83,712.79,20.24,10.0,10.0,44.96,71.88,18.04,29.81,14.15,39.61,75.46,10.0,22.16,704.87,54.94,14.84,36.35,98.12,66.53,42.35,24.68,27.06,84.61,30.26,17.86,57.1,10.0,35.39,52.1,49.72,22.12,50.82,16.44,34.75,39.19,12.04,950.83,10.0,10.0,126.28,113.23,35.07,10.0,10.0,33.84,30.86,73.58,29.67,24.04,10.0,36.95,10.0,15.66,139.19,18.04,15.98,10.0,26.6,16.85,37.96,67.72,14.47,49.72,91.02,52.24,10.0,10.0,35.39,10.0,68.5,33.65,18.96,15.43,23.9,22.34,10.0,47.89,130.54,40.15,51.42,184.65,114.92,67.35,16.71,91.76,15.43,15.11,70.28,10.44,46.84,20.74,32.97,18.41,400.44,17.9,93.45,10.0,201.41,28.94,48.17,21.75,44.69,104.99,134.56,304.66,10.0,293.72,17.35,10.0,95.83,250.45,32.69,10.0,31.82,42.4,10.0,38.41,26.05,19.69,24.82,11.86,34.39,12.13,24.04,113.14,42.17,45.69,124.31,37.09,89.65,26.6,10.0,31.68,33.15,201.82,281.72,15.06,301.18,65.7,19.78,1354.4,29.21,18.36,37.68,0
52.31,94.51,16.08,15.95,10.86,14.19,153.98,17.46,11.49,24.05,18.65,45.59,59.34,10.0,10.0,18.34,15.39,72.34,15.26,27.32,16.96,23.67,10.36,10.0,10.0,49.86,30.08,122.83,866.39,23.61,28.51,28.76,241.07,316.05,10.86,26.19,22.29,15.26,25.31,10.0,11.12,10.0,111.34,10.17,110.65,39.37,10.0,77.55,37.74,10.0,114.04,101.23,10.61,13.25,14.95,10.0,607.68,18.71,10.0,13.63,15.32,81.76,19.34,34.41,19.28,10.0,56.58,10.55,43.08,317.06,26.12,12.69,10.0,10.0,52.62,16.26,14.51,44.52,82.45,42.2,17.71,42.51,10.0,34.79,22.54,39.37,16.08,81.82,15.26,30.58,46.34,18.27,611.25,10.05,18.53,114.67,66.31,23.36,15.83,10.0,27.94,25.68,13.38,24.49,35.42,22.92,44.02,10.0,35.98,113.97,10.0,16.7,10.0,17.02,19.15,34.54,17.02,10.0,105.81,54.76,31.15,22.36,10.0,28.76,84.46,60.79,10.0,10.0,10.0,23.67,28.95,12.37,33.09,22.29,14.88,45.59,106.25,26.75,25.18,18.78,68.32,10.0,13.69,64.3,12.87,36.17,10.0,29.2,18.34,385.06,20.6,55.45,10.0,288.92,13.06,37.74,10.8,11.18,10.0,88.42,254.76,46.85,218.97,15.83,10.49,85.78,304.12,11.05,12.94,23.74,19.97,10.0,33.53,10.11,10.0,28.45,10.0,11.87,22.04,10.0,136.83,10.0,46.03,159.75,23.93,44.46,22.1,17.83,10.0,21.04,97.27,204.02,10.0,218.59,10.0,10.0,1036.9,10.0,10.0,10.0,0
58.59,88.92,26.27,10.85,10.0,14.75,171.88,10.0,36.42,36.36,54.71,30.37,72.84,21.83,10.0,16.31,21.14,40.66,33.15,33.97,19.09,12.24,18.96,12.37,10.0,57.23,16.74,43.37,1155.6,12.41,19.91,16.04,316.97,320.02,46.05,37.41,28.52,26.4,34.3,23.49,10.0,10.0,131.69,10.39,24.35,78.1,10.0,63.94,34.6,11.81,111.28,309.89,20.71,11.35,29.34,62.65,844.67,17.63,34.14,28.18,17.3,38.9,19.48,75.29,22.3,10.0,39.76,40.19,16.18,789.52,35.4,18.26,10.0,133.08,21.37,66.69,42.74,47.57,143.4,71.16,10.0,55.58,18.39,33.74,29.87,16.04,22.0,71.12,50.08,64.28,59.48,10.0,817.84,33.08,10.0,137.18,169.11,20.87,10.0,10.0,37.48,32.72,20.61,38.34,26.27,10.0,14.75,56.1,43.4,252.93,23.88,21.77,10.0,10.0,60.97,37.68,61.33,41.28,135.5,47.01,39.93,52.53,22.1,60.21,55.01,50.61,28.85,43.27,13.2,30.33,26.83,10.0,80.25,47.01,24.65,37.94,160.57,36.22,22.99,57.89,71.92,29.94,36.19,60.21,70.39,56.4,32.02,23.49,26.4,574.2,44.56,18.99,10.59,118.1,57.36,46.81,14.26,19.88,10.0,111.02,262.72,38.9,270.03,15.95,12.64,199.41,242.01,27.52,10.0,21.27,15.38,26.13,10.0,16.84,34.5,23.26,58.75,46.15,19.25,35.53,47.01,16.77,57.23,126.93,37.35,152.3,35.43,15.61,23.45,21.5,187.4,287.4,10.0,304.63,13.07,21.7,983.34,26.53,10.0,10.0,0
28.49,115.54,10.0,10.0,11.25,15.84,156.94,10.72,26.26,36.5,40.13,22.28,18.6,22.54,10.0,30.72,30.33,80.22,15.62,69.24,17.64,10.0,23.98,48.18,14.44,52.82,29.72,41.31,814.8,10.0,49.15,17.29,131.86,163.85,22.01,10.0,36.24,10.0,28.1,13.87,10.0,10.0,70.02,10.0,17.29,31.03,82.71,27.44,45.6,10.0,16.89,133.13,13.65,11.51,27.13,28.01,613.58,17.29,41.58,12.21,30.24,163.94,11.12,37.81,16.02,10.0,87.88,24.55,24.86,419.66,77.77,21.23,10.0,37.11,26.87,23.94,10.68,68.67,179.0,42.1,19.39,79.74,10.0,39.43,38.29,54.79,12.69,21.84,33.31,41.27,44.46,10.0,313.18,28.62,10.0,106.17,120.44,22.36,14.49,10.0,53.7,10.0,10.0,35.14,51.47,10.0,37.16,10.0,278.03,197.77,28.75,12.69,10.0,10.0,10.0,81.58,18.43,47.83,103.85,32.43,19.52,60.79,10.0,15.62,91.42,43.81,41.75,32.82,13.09,21.93,38.51,10.0,66.61,60.79,19.34,58.08,118.16,10.0,36.06,52.34,27.18,10.0,12.95,46.13,15.41,12.56,20.48,23.33,10.0,391.91,19.61,24.9,10.77,101.14,27.7,43.68,10.0,10.0,325.17,25.25,95.98,10.0,86.87,14.14,18.99,115.32,192.78,10.0,11.47,24.11,10.0,10.0,10.0,11.95,10.0,32.78,78.16,10.0,23.85,26.04,219.35,18.69,63.24,80.7,35.71,45.34,29.28,23.46,23.02,32.56,10.0,56.15,10.0,233.74,64.25,20.13,420.05,10.0,10.0,10.0,0
76.55,27.02,18.47,12.76,10.0,13.04,170.35,16.14,10.82,25.46,10.0,11.09,10.0,10.0,20.08,10.0,10.0,59.36,33.89,114.94,17.42,10.0,10.0,56.58,10.0,84.1,21.47,50.48,1475.5,31.95,12.09,21.25,314.42,410.99,10.0,26.46,25.91,10.0,13.04,10.32,13.42,10.0,86.93,10.71,12.37,25.18,10.0,48.82,29.35,10.0,11.15,48.48,10.0,13.76,12.26,21.69,635.88,15.59,10.0,10.0,17.2,58.52,15.2,70.78,11.32,10.0,32.06,10.0,15.53,473.95,17.03,11.71,28.12,57.64,26.18,21.58,12.59,47.21,78.94,38.89,18.14,48.15,10.0,35.61,24.19,54.64,10.0,68.23,34.78,12.32,10.0,35.28,1024.3,10.0,10.65,93.42,67.84,48.21,10.0,10.0,10.0,10.0,21.8,17.42,30.62,10.0,10.0,10.0,13.09,36.0,36.0,10.0,10.0,14.42,33.73,15.37,27.74,10.0,43.49,48.26,40.22,18.58,10.0,10.0,105.56,34.73,10.0,10.87,10.0,63.46,38.22,10.0,80.43,77.0,21.02,36.78,141.68,23.02,10.0,12.2,31.73,10.0,10.0,51.31,14.92,18.31,10.0,16.09,10.0,424.47,10.0,19.03,10.0,98.63,18.08,31.29,10.0,10.0,10.0,128.42,311.2,11.65,97.96,10.48,14.76,56.47,149.66,21.47,10.0,10.0,10.71,31.29,10.0,14.76,10.0,57.52,29.35,47.93,24.63,27.51,36.56,10.48,47.71,119.93,24.13,91.47,15.81,11.37,10.0,20.19,171.02,176.12,10.0,277.53,10.0,10.93,701.94,18.25,10.0,42.16,0
45.35,77.39,17.91,47.15,10.0,23.26,123.26,10.0,30.64,37.91,20.64,22.38,23.55,10.0,10.0,22.15,14.88,49.42,52.73,106.51,43.49,33.14,10.0,10.29,10.0,96.57,42.85,300.07,1183.9,24.88,24.3,10.76,297.91,387.68,40.64,10.0,38.37,10.0,54.94,25.18,32.85,10.0,82.56,24.01,22.91,61.57,72.68,78.78,34.13,10.0,47.73,179.02,12.21,46.75,26.4,26.92,384.89,10.0,10.0,12.79,15.52,288.15,29.42,23.72,13.95,10.0,40.99,37.79,176.98,476.47,73.84,10.99,10.0,19.42,86.22,27.85,11.69,41.75,165.18,22.5,11.86,10.0,10.0,31.4,16.22,14.77,14.59,39.42,13.61,55.12,39.59,10.0,952.35,27.33,16.34,76.75,46.69,24.19,10.0,10.0,37.09,10.0,10.0,44.77,95.64,27.62,31.05,35.87,65.7,105.76,18.43,17.04,10.0,21.86,69.07,104.6,56.46,14.13,158.72,37.27,63.08,15.93,18.9,61.8,116.51,42.56,39.42,41.22,11.34,45.87,44.48,10.58,80.12,82.21,32.5,67.56,137.5,28.2,24.77,49.19,64.48,21.22,15.18,39.94,39.65,35.18,10.0,10.0,32.62,253.96,31.75,19.3,10.0,228.61,28.9,58.49,17.09,36.92,196.57,34.89,93.14,10.0,256.34,17.79,10.0,127.33,191.75,24.71,10.0,30.0,23.43,10.0,36.57,10.0,10.0,41.75,10.0,10.0,10.0,10.0,168.38,10.0,86.98,136.92,31.16,208.67,17.91,24.88,11.05,13.61,219.42,278.32,27.5,141.81,10.0,20.64,991.19,27.5,10.87,16.05,0
145.31,88.05,10.0,20.85,36.95,33.19,44.34,10.0,24.8,25.07,21.09,83.72,98.11,31.88,10.0,80.28,79.74,30.76,10.0,37.1,79.31,40.82,40.08,70.1,12.42,24.53,41.01,37.33,546.81,25.22,12.23,23.02,139.74,170.42,87.63,10.0,38.26,20.54,60.97,10.0,10.0,10.79,10.0,10.0,16.02,22.63,166.05,116.45,35.63,21.94,157.3,20.62,33.54,38.15,27.2,22.67,204.74,17.76,71.8,26.58,94.59,217.15,12.34,171.77,21.98,10.0,123.57,35.32,19.96,88.71,10.0,37.02,55.56,10.0,25.73,32.73,37.14,10.0,202.92,29.21,10.0,10.0,25.5,10.0,58.11,65.85,50.64,26.08,23.1,79.31,39.93,28.28,101.32,32.5,22.86,67.82,213.01,77.65,46.85,10.0,17.53,14.47,28.05,136.72,78.23,56.64,12.96,23.68,48.9,272.36,23.6,45.07,16.25,10.0,15.94,153.2,10.33,43.25,37.02,18.76,38.22,10.0,27.78,15.59,57.8,43.37,37.57,17.87,14.47,54.9,65.42,20.62,73.58,155.76,28.59,55.36,65.92,10.0,188.29,57.3,15.2,10.0,17.64,46.08,22.94,15.44,16.64,14.04,59.77,234.33,53.66,26.31,56.72,213.01,32.23,10.0,10.0,10.0,10.0,139.66,59.62,10.0,191.93,15.67,27.47,83.72,198.89,10.0,10.0,19.77,29.75,35.94,35.98,24.34,10.0,10.0,27.12,28.4,10.18,36.83,153.28,449.2,13.31,47.82,23.33,84.15,35.21,27.04,27.97,20.62,10.0,12.15,25.3,83.99,66.93,17.8,372.64,21.63,36.29,16.56,0
