1063_s_at,1346_at,1511_at,1517_at,1537_at,1731_at,1737_s_at,1751_g_at,1752_at,1771_s_at,183_at,1942_s_at,1968_g_at,2075_s_at,2089_s_at,280_g_at,31330_at,31555_at,31692_at,31719_at,31720_s_at,31745_at,31904_at,31990_at,32002_at,32062_at,32100_r_at,32154_at,32238_at,32607_at,32623_at,32749_s_at,32786_at,33131_at,33158_at,33226_at,33242_at,33266_at,33274_f_at,33293_at,33303_at,33436_at,33764_at,33782_r_at,33813_at,33925_at,34088_at,34390_at,34407_at,34715_at,34722_at,35147_at,35174_i_at,35474_s_at,35670_at,35817_at,35897_r_at,35917_at,36018_at,36134_at,36148_at,36155_at,36156_at,36197_at,36364_at,36491_at,36617_at,36618_g_at,36678_at,36736_f_at,36823_at,36958_at,37149_s_at,37183_at,37191_at,37209_g_at,37344_at,37351_at,37360_at,37516_at,37985_at,38052_at,38079_at,38118_at,38174_at,38194_s_at,38406_f_at,38407_r_at,38524_at,38551_at,38752_r_at,38833_at,38855_s_at,39014_at,39026_r_at,39182_at,39322_at,39333_at,39338_at,39531_at,39542_at,39593_at,39657_at,39681_at,39720_g_at,40042_r_at,40075_at,40078_at,40422_at,40483_at,40543_at,40544_g_at,40619_at,40624_at,40767_at,40793_s_at,40839_at,41082_at,41098_at,41158_at,41164_at,41165_g_at,41202_s_at,41209_at,41214_at,41318_g_at,41401_at,41528_at,41624_r_at,41723_s_at,41870_at,41871_at,425_at,459_s_at,769_s_at,836_at,841_at,915_at,AFFX-HUMISGF3A/M97935_MA_at,AFFX-M27830_5_at,label
69.3,249.7,10.0,74.9,169.2,10.0,623.5,81.0,101.9,19.7,10.0,100.0,16.3,67.9,180.6,1042.2,824.3,48.4,10.0,1424.3,1851.5,77.2,10.0,76.3,226.7,35.9,119.7,250.8,44.2,11.5,78.5,968.9,30.9,60.6,15.2,18.1,10.0,133.1,10.0,10.0,10.0,13.1,15.8,129.3,137.8,10.0,59.3,241.3,10.0,40.8,64.2,10.0,10.0,51.2,10.0,219.4,10.0,98.7,303.8,113.5,60.8,44.1,385.3,200.7,10.0,10.0,156.7,59.1,909.7,10.0,19.9,508.0,10.0,10.0,33.0,10.0,25.7,272.0,266.8,10.0,42.8,10.0,82.9,255.6,10.0,10.0,63.6,10.0,91.3,464.1,294.0,109.2,79.2,134.0,32.7,168.6,36.9,377.5,558.1,52.2,310.9,780.8,10.0,10.0,85.1,36.1,10.8,93.8,1163.3,10.0,10.0,10.0,228.0,10.0,16.5,10.0,20.3,10.0,36.1,521.9,10.0,10.0,16.6,104.0,141.7,16.2,49.7,90.8,122.8,41.4,10.0,17.8,10.0,10.0,3039.3,25.9,10.0,10.0,18.6,129.8,1
383.86,2467.7,349.62,10.0,97.34,10.0,65.73,262.25,28.73,39.36,109.94,29.65,31.62,24.53,19.02,88.95,538.14,121.09,205.97,54.44,59.82,107.97,356.97,43.29,10.0,23.35,10.0,10.0,226.83,1339.8,1140.2,158.74,188.52,10.0,53.92,51.43,87.24,10.0,10.0,1241.7,23.22,62.58,724.95,302.52,54.84,3610.7,10.0,25.45,80.94,10.0,56.94,269.46,986.29,10.0,1290.0,1256.3,10.0,2482.6,59.17,668.02,1455.9,1173.6,117.28,20.99,50.51,10.0,205.71,88.55,181.83,41.98,552.97,81.86,10.0,417.58,2382.0,29.65,16.66,62.32,558.48,541.95,10.0,10.0,10.0,96.56,873.2,10.0,2873.1,1526.5,10.0,445.78,936.04,138.01,1467.1,36.34,871.1,45.92,10.0,10.0,34.24,314.46,2795.7,10.0,151.26,222.1,97.08,339.13,1051.9,10.0,69.14,105.35,33.85,61.4,109.67,54.71,10.0,91.31,168.05,40.8,125.29,857.72,10.0,13.25,68.48,61.0,10.0,121.09,35.03,273.14,10.0,72.15,10.0,19.29,59.56,317.22,247.03,76.09,20.2,128.3,58.38,85.01,1
65.74,806.06,12.73,92.36,673.89,91.13,391.6,161.32,574.4,341.05,42.11,151.88,19.25,24.62,26.16,82.23,1501.9,10.0,208.88,1129.2,1610.9,48.86,31.6,19.1,46.49,157.33,153.57,10.0,50.71,59.22,261.35,1807.3,275.85,363.99,141.07,106.09,10.0,86.99,10.0,114.37,20.87,694.83,13.65,179.88,139.46,25.93,96.19,27.23,80.85,129.72,190.47,90.82,168.68,1067.7,26.62,11.05,119.28,239.64,12.81,128.72,372.96,517.79,1416.7,1131.6,38.51,50.86,520.86,211.49,702.58,21.86,33.52,684.79,422.06,109.77,41.27,25.62,116.52,50.78,139.99,10.0,182.8,133.55,91.36,441.31,22.63,10.0,134.47,12.12,36.21,16.19,32.6,525.15,40.5,552.31,281.14,346.65,109.54,952.96,312.44,36.67,684.09,21.02,12.5,73.03,126.19,143.37,16.8,116.21,1265.4,274.85,74.41,175.43,444.91,211.1,35.98,92.9,67.2,80.32,59.91,73.56,10.0,10.0,275.46,590.43,10.0,26.08,74.03,123.04,303.08,252.6,275.08,498.92,10.0,50.02,1880.0,46.26,83.0,16.26,77.02,10.0,1
32.91,372.17,28.26,25.84,208.4,433.24,56.14,194.73,302.18,42.01,39.6,218.99,40.99,10.0,35.97,60.05,1727.0,33.74,71.01,179.77,240.84,52.05,73.25,18.31,19.8,169.54,186.55,88.95,83.28,936.01,749.74,746.67,160.8,1095.1,233.21,207.37,454.25,259.52,317.98,173.63,22.49,956.74,114.14,164.8,96.02,119.35,66.93,10.0,23.61,369.57,119.81,390.86,86.91,10.0,349.31,69.71,10.0,228.47,16.82,92.39,268.16,521.55,617.75,19.89,36.44,532.7,353.31,137.29,89.51,66.0,95.37,312.78,10.0,151.32,94.25,61.26,102.52,10.0,171.96,10.0,500.63,10.41,10.0,107.36,86.91,255.15,405.92,62.46,69.53,34.76,329.88,689.6,48.15,50.01,138.87,10.0,144.63,32.81,47.96,72.78,850.5,10.0,19.33,161.73,151.51,10.0,71.29,10.0,634.2,345.96,74.08,224.01,755.97,1048.3,21.01,27.7,213.04,83.01,155.88,247.25,48.89,21.66,343.45,255.15,418.46,30.95,174.75,232.93,277.83,229.5,10.0,26.31,10.0,97.23,233.49,28.35,378.59,105.59,76.13,10.0,1
257.13,1654.2,165.1,10.0,48.98,204.89,14.9,170.2,40.2,35.31,99.38,29.39,24.29,57.35,54.28,30.2,421.01,52.65,51.22,44.08,90.0,83.47,412.03,105.91,10.0,236.32,122.44,10.0,174.89,1154.9,1575.3,179.18,58.37,96.94,125.3,10.0,53.26,48.37,10.0,750.99,47.96,114.49,262.03,24.08,38.16,1973.8,118.98,13.47,43.88,10.0,102.24,247.13,766.71,10.0,752.01,2373.8,77.55,2025.2,134.28,525.08,1454.8,1282.2,514.06,17.75,78.57,13.06,222.65,88.77,158.97,10.0,419.37,25.51,10.0,370.6,1735.4,18.98,42.86,10.0,352.44,919.36,10.0,10.0,10.0,97.96,842.22,10.0,3038.7,1345.3,10.0,293.05,550.18,250.6,659.16,46.33,473.66,44.69,30.61,10.0,44.9,118.57,2608.9,10.0,90.61,107.96,104.89,50.61,626.71,10.0,38.37,114.89,27.14,112.85,68.16,305.7,21.63,90.81,186.73,83.06,331.21,2513.4,10.0,10.0,56.12,92.85,181.63,78.77,18.16,248.97,306.32,64.69,10.0,28.98,32.65,435.9,520.39,15.1,83.88,62.86,39.18,25.71,1
18.63,628.55,40.18,10.41,87.44,85.88,260.77,141.05,255.15,106.49,10.0,124.29,10.0,32.79,15.82,81.09,722.76,27.17,234.43,1129.6,1738.4,61.0,89.21,10.0,39.25,33.1,148.55,10.0,74.33,195.91,323.12,2352.0,547.46,94.73,75.58,39.35,24.78,17.91,989.36,149.59,38.93,124.81,10.0,10.0,247.76,90.25,11.35,101.08,102.95,10.0,84.95,48.82,122.32,447.0,28.42,1499.2,10.0,492.28,91.71,110.24,435.13,670.09,240.57,1434.7,15.62,10.0,1194.7,652.39,880.05,54.13,33.21,503.94,2605.8,35.39,138.76,77.14,143.24,224.75,222.04,74.85,25.71,899.83,124.09,592.32,67.35,260.98,1265.8,417.13,33.42,46.85,146.47,608.25,60.17,354.87,122.52,486.14,10.0,377.46,447.83,160.42,240.16,26.86,62.15,67.66,98.06,10.0,70.48,180.4,254.52,24.26,10.0,10.0,125.34,99.52,31.85,139.39,58.09,43.2,194.04,1474.9,3775.9,2185.7,221.94,92.65,170.2,10.0,49.55,124.5,196.85,519.14,300.12,448.56,60.48,222.36,2538.7,21.65,36.64,61.63,141.57,10.0,1
150.38,3126.6,50.85,10.0,356.98,115.72,143.91,53.34,81.15,143.83,31.31,141.42,12.54,10.0,18.46,103.49,1327.1,11.92,201.46,944.07,958.48,12.07,10.0,31.15,13.16,200.76,156.37,34.5,58.56,165.25,708.03,1013.8,327.62,89.95,78.65,53.42,28.81,55.37,10.0,99.06,70.4,375.43,114.16,128.26,241.25,10.0,124.21,32.55,368.19,38.16,49.14,56.23,205.51,10.0,10.0,143.68,10.0,200.45,12.85,72.89,363.52,520.43,878.65,889.71,38.16,10.0,280.35,123.82,608.51,76.47,10.0,400.35,94.15,23.05,16.59,83.09,211.9,78.42,124.21,10.0,52.25,102.4,63.94,793.3,29.75,14.72,1268.0,461.64,10.0,10.0,525.96,915.64,43.06,794.86,182.3,284.47,27.65,366.48,489.75,222.95,347.71,27.02,62.14,116.42,25.62,163.46,39.17,18.85,629.69,775.0,50.7,216.96,158.79,314.77,31.7,219.61,131.37,284.32,60.51,549.95,10.0,10.0,286.58,217.11,10.0,46.26,341.4,18.53,77.87,318.51,400.12,493.64,10.0,87.69,2353.0,71.88,114.01,44.54,16.12,27.33,1
26.67,1121.6,30.05,10.0,64.48,13.34,177.75,86.17,49.46,96.47,10.0,149.39,10.0,10.0,10.0,45.32,2012.6,25.57,146.6,926.2,1304.6,21.44,45.58,50.64,49.21,46.93,13.67,10.0,88.79,130.48,76.64,1561.8,365.96,96.47,68.87,73.09,10.0,34.94,10.0,112.42,22.45,147.7,18.57,253.45,216.23,10.0,11.56,103.98,160.36,27.43,22.87,10.0,21.1,705.33,10.0,20.17,10.0,229.14,10.0,26.59,546.57,479.56,61.7,1480.6,10.0,21.94,808.12,462.93,1060.8,30.38,11.99,857.5,10.0,10.0,17.64,12.49,230.07,311.27,209.14,10.0,19.33,601.68,85.33,764.15,27.85,10.0,564.55,31.23,47.43,10.0,627.68,717.82,10.0,904.26,128.03,349.25,13.08,446.47,427.65,164.66,642.96,16.29,90.48,112.59,69.55,53.0,24.9,221.3,1032.6,22.03,10.0,10.0,143.31,26.0,64.06,15.95,31.14,26.92,21.69,30.38,10.0,10.0,146.77,159.52,275.48,10.0,245.1,39.16,220.45,472.22,380.56,505.55,34.86,102.8,2820.3,12.32,15.53,31.99,66.09,10.0,1
26.94,1398.9,85.55,15.52,444.71,182.44,236.73,35.64,47.26,124.8,56.45,1938.7,23.88,32.71,48.17,38.0,1141.9,26.38,69.95,683.8,993.2,10.0,43.85,10.0,15.45,31.88,52.69,19.84,106.36,474.22,325.54,1102.4,25.55,360.63,385.82,68.49,28.68,75.38,10.0,137.82,61.95,216.47,310.09,189.54,155.29,10.0,10.0,14.27,57.15,83.6,42.25,77.12,225.94,31.32,134.13,238.12,10.0,320.32,168.51,122.44,389.23,521.76,1994.7,327.01,16.98,142.06,316.15,114.92,707.61,43.92,42.32,298.47,10.0,16.98,120.42,14.2,259.42,77.12,149.65,10.0,65.78,66.54,52.9,242.85,37.8,10.0,894.15,245.08,44.41,104.13,653.52,859.83,78.38,998.0,239.02,166.98,17.4,678.44,142.9,153.27,328.26,22.07,10.0,17.68,177.01,20.26,63.97,65.22,637.1,434.96,52.27,233.32,279.26,554.34,60.97,60.84,163.57,155.08,142.69,495.1,10.0,10.0,74.69,71.14,194.62,122.71,172.83,83.6,165.1,430.65,243.34,237.63,186.82,163.29,1332.5,36.61,206.31,37.03,55.62,10.0,1
199.35,958.45,235.77,40.81,10.0,1452.8,120.76,20.51,64.25,35.58,148.49,377.67,808.49,18.63,577.54,90.41,2723.1,60.38,10.0,350.25,550.85,20.51,115.63,16.85,50.13,34.22,61.32,66.55,122.33,734.82,1158.1,427.9,10.99,729.27,45.0,116.37,32.55,81.21,10.0,114.27,21.87,70.43,174.03,10.0,31.39,356.95,86.23,10.0,32.02,255.13,77.54,291.75,117.83,10.0,123.27,177.69,435.53,299.08,905.71,102.55,189.72,78.8,10.0,13.29,26.69,581.72,90.83,24.38,547.82,37.15,75.87,341.77,10.0,118.88,84.55,17.48,10.0,10.0,220.8,10.0,145.67,10.0,10.0,514.44,226.98,10.0,322.2,31.08,72.62,45.52,950.08,61.95,64.88,82.98,137.29,10.0,82.25,124.0,41.44,59.54,1496.6,10.0,10.0,14.55,10.0,101.4,139.28,10.0,172.98,933.12,139.81,565.09,263.08,1604.3,38.51,13.19,420.57,150.27,34.85,475.51,10.0,10.0,201.55,48.03,10.0,138.13,58.81,105.48,288.19,46.78,10.0,27.94,10.0,198.3,406.86,46.78,588.94,13.71,60.38,10.0,1
151.78,2866.5,10.0,85.46,2057.1,69.87,80.96,174.99,102.95,42.25,44.25,180.62,10.0,10.0,14.63,39.66,1510.8,21.39,80.44,493.88,589.12,10.0,15.33,63.21,10.0,203.13,87.71,45.72,14.11,66.84,436.65,1181.5,104.85,151.44,21.82,61.91,25.02,135.77,10.0,143.9,10.13,623.76,10.0,204.25,89.7,51.0,113.86,10.0,87.71,102.86,55.24,78.97,40.18,10.0,14.29,13.77,110.66,278.63,15.15,55.59,137.32,285.3,238.8,362.36,47.02,101.3,117.5,34.98,704.8,40.35,23.12,744.54,10.0,398.12,42.25,24.5,169.1,43.38,305.04,10.0,90.91,27.71,58.27,120.01,49.7,10.0,84.85,10.0,95.59,23.81,819.87,630.86,30.22,538.47,62.43,427.38,90.83,159.06,376.64,103.12,628.43,10.0,10.0,123.21,25.02,10.0,10.0,11.0,805.5,617.0,70.57,295.43,330.58,368.94,10.0,148.06,299.06,191.96,21.47,94.9,10.0,10.0,223.91,482.71,284.86,23.98,195.51,62.86,203.82,322.18,150.14,218.28,303.22,102.43,1627.1,39.05,159.32,183.13,158.62,10.0,1
29.99,840.82,70.96,49.74,274.0,272.96,72.32,293.13,53.61,139.2,44.2,1738.7,18.5,54.97,28.95,31.25,1502.8,73.36,98.34,497.32,526.9,83.92,43.16,21.53,10.0,27.8,71.9,23.51,21.63,325.1,552.71,594.51,102.83,514.67,400.24,87.05,23.2,59.88,10.0,146.93,33.13,337.23,327.93,185.28,50.89,10.0,130.63,10.0,24.56,13.9,31.25,53.4,41.28,10.0,94.26,18.18,10.0,310.89,27.8,98.23,332.32,296.37,77.02,10.0,38.14,131.36,1069.4,508.09,181.1,34.59,45.15,94.05,10.0,54.45,98.96,15.47,69.29,51.42,149.12,10.0,20.38,10.0,31.66,64.9,90.29,10.0,774.36,182.46,204.51,17.45,851.37,309.64,60.61,84.12,185.59,10.0,58.83,170.34,202.84,52.98,234.19,10.0,14.42,91.44,47.24,63.43,15.68,10.0,96.14,506.94,49.64,264.81,138.26,708.83,17.03,58.94,104.19,335.03,434.94,136.06,10.0,10.0,1410.8,334.51,313.4,52.98,21.74,48.59,152.47,85.8,10.0,25.81,18.29,57.16,503.7,164.38,304.62,29.05,24.56,10.0,1
