1306_at,1481_at,1736_at,1898_at,291_s_at,31623_f_at,31740_s_at,31901_at,32249_at,32252_at,32502_at,32566_at,32818_at,32905_s_at,33413_at,33452_at,34454_r_at,34771_at,35280_at,35740_at,36197_at,36203_at,36284_at,36591_at,36622_at,36834_at,37222_at,37467_at,37478_at,38013_at,38028_at,388_at,38957_at,38997_at,39066_at,39157_at,39473_r_at,39704_s_at,39870_at,40445_at,41164_at,41165_g_at,41764_at,41771_g_at,614_at,label
395.7,13.3,35.5,63.3,45.7,632.7,10.0,86.4,651.0,10.0,139.2,656.7,39.7,97.1,10.0,25.7,10.0,106.8,20.3,10.0,115.9,431.8,10.0,10.0,10.0,180.7,97.5,10.0,61.4,84.3,18.3,164.2,42.9,151.5,10.0,115.6,10.0,448.3,10.0,32.9,758.6,422.6,503.9,115.9,241.3,1
157.2,11.0,212.7,172.5,16.9,1617.0,10.0,107.9,1198.6,193.2,136.0,731.4,546.1,75.6,248.7,375.7,10.0,56.7,65.2,291.3,10.0,290.9,10.0,44.6,10.0,49.7,91.7,13.5,50.2,23.1,10.0,80.4,46.6,10.0,522.2,10.0,10.0,60.7,56.7,18.1,276.5,128.7,58.1,58.0,540.9,1
117.0,34.4,29.4,98.1,44.8,451.2,10.0,108.9,943.8,10.0,142.3,175.8,30.4,10.0,173.2,10.0,10.0,10.0,10.0,26.4,18.6,529.4,10.0,10.0,10.0,10.0,121.4,10.0,87.8,34.4,10.0,85.2,99.8,72.5,60.2,40.3,36.2,10.0,10.0,34.6,325.8,61.7,70.1,75.2,387.0,1
90.8,29.1,1154.8,458.1,88.5,1661.4,34.4,144.9,62.8,10.0,28.8,234.2,148.7,10.0,58.0,1319.8,10.0,273.5,1172.9,79.3,10.0,53.8,59.3,594.3,10.0,10.2,82.6,10.0,61.9,25.1,10.0,154.8,26.2,398.3,10.0,16.3,10.0,2315.9,10.0,22.1,38.1,10.0,722.8,37.3,10.0,1
344.5,26.2,452.4,16.8,12.8,625.9,10.0,161.2,93.0,10.0,50.5,486.4,254.0,10.0,103.9,10.0,10.0,80.9,244.1,10.0,714.5,220.1,10.0,353.8,10.0,10.0,10.0,10.0,17.2,10.0,10.0,160.6,10.0,10.0,10.0,101.3,10.0,470.2,20.0,24.0,106.4,27.2,281.1,69.8,10.0,1
91.8,27.7,343.5,468.5,14.9,1110.8,10.0,133.8,137.3,10.0,480.5,118.2,46.0,236.7,16.5,10.0,50.5,72.1,35.9,34.9,567.5,117.6,10.0,10.0,10.0,10.7,108.5,44.9,43.7,83.0,10.0,175.2,41.5,348.6,95.8,70.6,10.0,55.0,34.0,10.0,264.3,58.5,430.2,49.6,224.4,1
277.4,22.6,110.6,77.4,10.0,2005.7,10.0,201.6,1055.9,10.0,85.3,692.8,11.0,10.0,25.4,21.6,10.0,24.4,10.0,38.2,594.1,206.5,10.0,10.0,10.0,13.3,125.6,10.0,12.4,20.4,10.0,113.9,10.0,222.8,10.0,16.7,10.0,121.8,10.0,36.1,151.4,10.0,389.1,31.4,2385.1,1
244.2,20.7,197.0,328.2,51.4,1493.6,119.1,54.5,181.0,10.0,398.2,356.4,10.0,20.9,10.0,10.0,26.0,98.6,36.3,10.0,128.8,180.9,10.0,10.0,10.0,26.8,79.6,10.0,16.3,58.5,10.0,176.7,10.0,128.9,10.0,31.3,10.0,107.6,49.7,28.7,104.0,10.0,526.4,56.5,842.3,1
301.5,15.3,647.9,1449.1,14.7,1889.4,10.0,55.5,162.5,10.0,370.9,233.4,27.3,10.0,10.0,15.0,10.0,86.6,104.4,23.7,42.1,188.8,10.0,14.2,10.0,10.0,128.4,10.0,84.0,14.6,10.0,193.1,20.6,337.4,10.0,37.3,10.0,87.4,10.6,32.8,2822.2,1757.0,511.0,49.6,152.2,1
171.5,69.0,537.8,53.8,24.7,1874.9,10.0,154.4,908.0,10.0,60.2,82.5,260.9,14.4,37.6,10.0,82.5,149.8,157.0,19.9,188.4,91.8,10.0,167.4,10.0,10.0,10.0,10.0,10.0,63.4,10.0,98.7,33.6,99.4,117.4,61.3,87.4,12.8,28.4,10.9,1852.5,604.4,582.3,94.9,901.7,1
272.1,16.3,10.0,50.7,14.2,1054.2,88.2,165.2,1073.8,26.5,191.3,283.0,266.3,152.1,10.0,81.3,22.3,43.6,10.0,217.3,568.7,149.3,10.0,10.0,10.0,10.8,55.4,10.0,95.2,72.3,10.0,273.5,29.6,109.9,10.0,31.9,19.7,235.3,51.8,24.3,102.6,10.0,170.1,174.0,2012.8,1
86.1,10.0,137.0,86.7,39.9,1038.0,10.0,132.4,398.1,13.9,204.6,247.3,128.2,27.4,119.5,10.0,10.0,140.3,126.7,45.4,27.3,259.5,10.0,107.2,10.0,10.0,112.6,10.0,81.0,116.6,10.7,178.3,38.1,346.5,10.0,10.0,10.0,319.7,10.0,25.4,139.4,11.5,528.9,69.3,142.1,1
10.0,38.2,279.5,282.1,10.0,894.2,10.0,10.0,127.7,15.4,451.6,215.9,10.0,10.0,10.0,82.2,633.7,10.0,10.0,10.0,107.3,229.0,10.0,10.0,10.0,12.4,123.7,25.3,10.0,10.0,10.0,10.0,11.7,78.4,10.0,106.1,10.0,10.0,181.0,78.6,96.7,382.9,10.0,132.4,794.8,1
10.0,14.5,137.0,48.1,137.2,2271.7,10.0,50.2,795.2,68.1,219.6,483.1,60.2,42.3,56.4,349.3,745.2,131.9,10.0,111.6,37.7,145.5,10.0,10.0,10.0,23.2,93.2,125.3,10.0,10.0,10.0,145.7,28.8,174.4,334.3,144.1,10.0,101.1,88.2,10.0,1151.9,880.5,58.3,213.5,1485.7,1
409.7,10.0,102.0,31.2,20.4,1858.1,10.0,18.6,53.8,15.1,458.7,85.9,10.0,76.7,29.2,10.0,10.0,13.8,10.0,10.0,112.0,163.9,18.5,10.0,10.0,10.0,12.5,10.0,51.1,31.9,10.0,67.1,23.0,42.1,10.0,189.0,10.0,10.0,70.6,41.5,166.4,218.3,47.7,74.3,1071.8,1
10.0,35.7,554.9,49.4,15.1,10.0,10.0,105.3,972.3,24.0,75.5,434.2,111.5,21.9,102.7,13.5,10.0,74.2,59.9,11.8,1518.2,232.2,10.0,10.0,10.0,16.1,51.7,21.8,53.8,277.7,10.0,77.4,10.0,10.0,10.0,315.0,10.0,473.3,30.7,108.2,17.4,11.4,816.3,64.6,10.0,1
226.8,35.9,224.8,248.5,18.2,1235.8,10.0,67.8,1133.2,10.0,143.2,530.9,244.6,10.0,144.0,118.3,32.3,47.8,63.2,145.9,120.6,227.0,22.0,10.0,10.0,22.8,62.8,10.0,66.6,13.2,10.0,101.8,10.1,100.2,74.6,134.7,10.0,375.4,10.0,44.0,390.3,150.9,662.6,65.0,61.2,1
143.1,49.7,197.6,64.6,22.3,1823.6,10.0,66.8,3082.9,11.6,206.3,212.2,28.5,68.4,274.5,20.5,10.0,10.0,12.7,127.3,176.1,714.9,15.0,10.0,61.8,52.1,10.0,10.0,54.4,43.4,10.0,133.1,20.3,202.8,56.6,49.0,253.2,52.2,10.0,46.6,58.0,84.2,256.3,35.3,3968.5,1
10.0,10.0,1192.4,398.0,249.4,3317.0,10.0,276.0,613.7,10.0,233.5,319.4,59.4,10.0,353.4,10.0,505.3,86.4,64.8,10.0,613.6,281.1,10.0,114.6,10.0,80.1,222.6,37.5,181.7,16.6,24.8,10.0,88.8,339.5,13.0,33.6,10.0,309.6,259.6,38.8,901.1,422.3,562.7,71.3,554.0,1
10.0,10.0,156.0,10.0,61.5,889.7,129.2,300.2,326.7,479.9,257.0,149.1,10.0,10.0,129.3,82.2,10.0,10.0,10.0,10.0,502.8,177.7,10.0,10.0,16.1,63.3,10.0,28.4,33.8,34.8,15.4,10.0,19.3,10.0,10.0,84.5,10.0,143.8,10.0,10.0,590.7,254.4,868.0,110.1,10.0,1
10.0,21.4,120.6,384.7,15.3,693.4,291.0,80.5,139.7,10.0,90.0,209.9,101.9,18.5,211.6,212.9,721.4,10.0,200.7,43.8,108.1,333.2,119.7,130.4,80.1,139.0,168.6,210.7,114.4,10.0,42.1,41.8,88.7,10.0,111.6,71.5,10.0,101.1,107.9,10.0,1440.3,571.3,729.5,50.6,1850.3,1
10.0,10.0,10.0,359.2,207.7,607.5,325.0,111.4,2230.9,10.0,332.2,544.9,84.0,148.4,93.6,10.0,10.0,216.7,10.0,10.0,2050.9,269.7,10.0,10.0,10.0,61.7,839.8,176.5,10.0,25.6,10.0,70.7,48.4,92.2,10.0,157.1,10.0,202.9,10.0,10.1,10.0,10.0,666.3,191.4,2195.2,1
10.0,11.9,444.0,33.0,49.1,2945.8,10.0,181.8,545.4,10.0,283.9,104.1,598.7,98.5,83.4,165.4,10.0,10.0,10.0,146.2,12.4,127.6,10.0,52.8,10.0,53.0,61.2,10.0,81.2,121.6,10.0,118.1,61.8,266.7,215.6,10.0,10.0,65.8,15.8,15.7,145.3,115.2,615.2,49.6,342.2,1
10.0,10.0,158.5,62.7,16.3,803.2,10.0,194.1,1048.7,10.0,198.0,415.3,28.1,48.1,162.2,22.8,10.0,132.5,24.8,53.9,125.5,551.9,10.0,10.0,10.0,19.6,60.3,10.0,72.3,33.9,10.0,96.0,48.5,252.4,10.0,23.0,10.0,138.0,35.5,22.1,141.3,185.4,807.7,392.4,28.6,1
74.8,20.8,382.0,66.4,12.2,4932.4,10.0,91.5,356.7,10.0,175.1,634.9,14.6,25.4,108.9,15.9,87.2,10.0,30.6,10.0,169.5,246.6,17.6,28.5,10.0,13.1,31.6,10.0,32.7,10.1,10.0,99.9,10.0,305.1,10.0,169.9,10.0,47.5,10.0,52.3,1940.3,966.4,645.0,57.6,251.2,1
10.0,40.3,89.2,165.2,218.0,889.1,17.8,81.9,532.3,10.0,186.3,348.1,74.3,10.0,140.0,65.7,304.6,274.5,10.0,10.0,542.3,211.4,10.0,10.0,10.0,10.0,167.5,10.0,89.2,25.9,10.0,119.5,10.0,33.2,10.0,105.4,10.0,791.0,10.0,22.8,10.0,10.0,548.5,167.8,248.9,1
10.0,10.0,182.6,41.6,282.8,1103.7,10.0,123.3,836.8,10.0,356.3,522.4,95.1,10.0,198.3,131.8,22.0,26.5,10.0,142.5,10.0,122.0,10.0,10.0,34.2,35.7,90.4,10.0,24.0,43.2,10.0,76.9,10.0,342.8,121.3,80.4,10.0,58.3,115.1,92.0,49.0,10.0,1087.4,104.9,10.0,1
10.0,27.9,1561.2,38.6,35.3,1502.4,10.0,88.5,214.2,10.0,10.0,231.4,65.3,42.0,64.4,278.2,180.1,10.0,497.4,21.6,11.5,99.5,10.0,10.0,10.0,10.0,45.9,67.3,30.0,23.2,10.0,128.2,76.8,301.2,10.0,18.4,541.9,283.5,33.3,42.5,424.1,347.7,755.5,90.2,10.0,1
10.0,37.5,501.6,10.0,129.6,539.7,10.0,10.0,19.7,10.0,330.8,77.1,27.7,10.0,334.8,215.1,828.1,43.5,10.0,10.0,82.9,167.3,10.0,21.0,10.0,60.0,10.0,56.9,16.4,10.0,10.2,11.7,75.6,94.6,10.0,197.4,10.0,210.5,60.4,10.0,359.9,197.2,164.3,152.4,10.0,1
10.0,13.8,2033.1,128.1,10.0,1816.1,10.0,137.7,166.0,10.0,291.4,10.0,70.5,10.0,35.9,868.8,547.1,10.0,28.7,10.0,86.1,131.6,10.0,603.0,10.0,10.0,10.0,10.0,23.6,10.0,10.0,79.8,95.1,388.4,10.0,99.2,10.0,291.6,57.0,57.3,1684.8,729.2,668.9,105.0,755.0,1
107.3,10.0,220.4,36.3,67.6,1404.0,47.1,276.0,704.2,10.0,111.8,491.6,87.3,15.7,10.0,513.7,10.0,343.5,150.2,10.0,338.4,241.6,10.0,312.9,75.5,10.0,59.8,82.8,186.6,62.6,10.0,181.1,55.5,186.7,80.4,134.7,10.0,372.5,10.0,10.0,38.1,10.0,983.8,104.6,972.6,1
156.5,184.6,23.5,248.5,157.5,10.0,141.2,81.6,70.0,10.0,359.6,31.7,28.7,86.2,10.7,43.9,545.9,347.9,40.5,48.6,93.2,136.3,10.0,217.1,10.0,42.7,10.0,47.7,10.0,43.6,10.0,39.3,10.0,11.4,10.0,10.0,10.0,858.7,27.1,453.5,372.7,198.8,638.0,269.4,10.0,1
530.1,293.8,10.0,52.1,535.7,10.0,10.0,116.8,226.0,15.5,10.0,102.1,852.5,131.6,200.8,10.0,10.0,281.4,35.7,61.0,27.8,241.4,10.0,547.5,1959.4,73.1,95.9,224.0,79.1,148.3,46.2,10.0,13.8,241.7,10.0,181.4,10.0,1000.9,10.0,115.8,10026.0,6971.5,501.5,323.3,10.0,0
440.2,58.5,10.0,59.6,876.0,474.2,10.0,18.7,378.0,24.5,133.8,118.8,493.1,341.5,252.3,24.5,10.0,192.2,57.5,275.4,173.3,248.7,44.3,246.0,2426.0,184.2,10.0,255.9,61.9,81.7,105.7,10.0,38.5,153.5,100.1,10.0,10.0,619.9,19.5,242.6,4305.4,2594.7,899.7,557.0,59.9,0
443.5,44.5,10.0,39.2,979.0,251.1,10.0,12.4,403.4,10.0,84.5,166.8,606.3,250.4,441.1,46.3,11.7,246.0,29.6,200.2,335.7,322.2,10.0,242.4,3840.6,140.7,28.2,220.4,42.1,235.2,149.3,61.6,38.8,129.1,106.3,48.3,10.0,835.7,10.0,234.8,3151.8,1490.7,1218.6,697.3,10.0,0
268.1,202.0,10.0,40.0,559.9,417.9,39.5,110.2,150.1,10.0,37.4,122.4,1075.0,120.9,27.6,19.3,10.0,111.7,60.4,174.8,804.5,139.2,10.0,322.6,1392.1,69.0,98.7,570.3,48.6,125.0,159.6,146.2,15.9,10.0,10.0,10.0,10.0,1399.0,10.0,88.8,5837.5,3890.2,1756.1,247.8,10.0,0
168.9,155.3,10.0,91.2,635.5,10.0,170.0,18.2,227.6,10.0,10.0,98.5,107.8,63.5,765.9,10.0,10.0,81.1,48.0,118.2,179.3,600.2,10.0,153.3,1034.5,224.1,144.3,297.3,129.6,319.7,120.2,159.8,24.5,364.2,162.0,216.9,10.0,431.8,66.0,119.4,7305.5,5072.7,195.7,258.6,10.0,0
119.6,129.7,10.0,101.2,682.3,522.5,162.0,10.0,145.1,31.6,131.2,135.0,64.1,11.4,567.9,24.1,10.0,56.3,114.8,30.1,103.7,1113.8,10.0,174.4,2076.8,27.3,157.4,95.9,30.2,295.1,160.4,152.6,10.0,433.5,10.0,10.0,10.0,495.9,30.3,147.1,9883.0,6780.3,104.6,232.6,10.0,0
220.7,324.2,50.5,84.9,381.0,10.0,10.0,47.1,195.7,10.0,147.6,141.5,116.0,474.2,22.3,111.3,82.8,10.0,76.8,190.2,91.6,16.2,404.9,208.3,10.0,166.9,203.2,342.2,87.9,32.5,34.2,121.4,65.8,335.1,207.2,10.0,10.0,459.1,10.0,309.3,6393.2,4394.8,964.7,179.2,10.0,0
176.4,159.1,38.4,10.6,522.5,310.8,14.1,26.5,318.3,10.0,33.8,185.3,472.9,66.1,246.2,58.1,10.0,103.6,119.3,155.6,214.6,304.5,10.0,147.6,816.8,96.0,100.2,1191.3,10.0,116.1,29.7,98.8,21.1,401.9,10.0,10.0,542.4,597.0,10.0,91.4,10007.0,7354.3,876.2,125.1,10.0,0
417.9,140.0,10.0,67.5,420.4,399.7,155.2,92.2,249.2,10.0,10.0,95.8,896.5,501.6,417.3,153.4,10.0,10.0,40.2,97.0,223.8,254.4,10.0,235.3,631.5,211.7,27.0,2908.1,54.9,268.6,283.9,10.0,50.8,10.0,160.6,163.1,290.0,217.2,26.2,57.3,4880.9,2424.2,394.8,361.4,26.6,0
109.1,45.2,10.0,34.7,900.8,786.2,10.0,98.6,184.0,14.6,234.1,414.0,132.1,266.3,266.6,10.0,10.0,10.0,69.6,116.7,618.6,239.9,110.6,968.8,10.0,20.3,107.4,10.0,85.9,25.8,496.0,10.0,18.5,483.0,10.0,10.0,10.0,1088.5,82.4,281.4,1607.1,540.7,277.0,175.2,10.0,0
486.2,15.0,10.0,36.6,932.7,922.5,10.0,60.9,87.2,10.7,176.9,293.5,274.9,193.7,210.8,37.4,10.0,16.3,39.0,75.1,429.8,414.8,173.1,928.1,10.0,10.0,92.3,11.2,52.7,20.4,417.3,103.9,17.6,819.2,10.0,10.0,10.0,1780.7,14.6,132.0,1322.4,715.8,339.0,150.7,10.0,0
77.4,25.8,10.0,42.6,300.8,10.0,181.9,10.0,11.9,10.0,49.7,36.3,141.3,64.0,534.4,34.9,10.0,513.8,54.2,10.0,1050.4,156.7,28.7,527.4,801.9,40.5,45.1,10.0,10.0,244.5,305.2,133.0,10.0,1260.1,10.0,10.0,10.0,750.3,10.0,221.9,498.5,118.8,824.3,303.0,10.0,0
389.5,39.3,10.0,60.6,375.4,202.3,101.2,35.8,115.3,10.0,117.8,81.7,188.7,1255.5,143.4,57.4,10.0,273.2,61.0,88.3,222.3,166.0,10.0,176.6,349.2,69.0,154.4,52.7,14.6,484.7,299.5,35.2,23.6,752.6,275.3,165.3,10.0,398.4,28.9,168.2,1332.4,747.3,1115.1,435.2,10.0,0
313.1,245.3,10.0,34.7,165.6,10.0,129.2,81.8,113.6,10.0,32.7,10.0,181.4,157.1,758.7,10.0,10.0,359.1,10.0,22.3,10.0,1052.4,10.0,299.5,1070.7,20.0,236.1,243.6,11.9,321.8,155.6,134.7,212.4,320.7,50.3,89.6,10.0,741.3,54.6,383.5,4064.6,2136.8,761.6,380.5,10.0,0
453.7,117.9,213.3,147.8,249.1,10.0,406.2,69.2,41.4,247.1,232.5,10.0,116.0,137.6,519.9,92.5,948.1,265.2,10.0,10.0,10.0,987.2,10.0,389.9,1104.8,10.0,10.0,537.2,163.4,419.3,297.8,30.4,491.8,382.4,136.6,263.6,1224.6,520.8,10.0,485.3,5116.4,2293.5,10.0,324.8,21.5,0
194.5,73.3,10.0,68.9,1377.2,214.1,111.3,10.0,128.8,20.8,10.0,249.2,221.7,304.5,288.0,10.0,10.0,84.3,26.3,45.3,125.7,97.9,272.2,314.7,45.4,69.3,117.7,10.0,90.2,380.5,411.4,161.3,14.9,334.9,10.0,10.0,10.0,686.8,67.6,314.4,2671.4,1439.7,168.2,374.3,10.0,0
307.1,1229.3,108.0,50.6,265.2,1026.8,10.0,22.0,59.8,10.0,104.5,50.3,472.7,155.6,23.3,22.9,65.7,61.2,42.9,114.0,463.7,172.1,14.9,639.9,27.8,30.4,10.0,29.4,40.1,55.1,10.0,142.0,11.0,10.0,10.0,10.0,10.0,2210.7,21.6,55.8,868.1,436.1,630.3,110.3,10.0,0
245.4,657.6,70.5,50.5,346.8,868.6,21.8,78.6,67.2,10.0,52.9,82.7,330.2,324.5,120.3,35.9,10.0,94.3,65.7,139.1,318.7,172.1,10.0,1091.9,55.6,10.0,10.0,124.4,10.0,60.6,78.2,118.6,10.0,10.0,10.0,18.8,10.0,1925.0,10.0,51.3,1922.6,1134.1,978.2,168.6,10.0,0
243.1,17.5,10.0,47.7,1827.5,408.7,128.5,67.7,44.4,10.0,128.8,24.9,114.8,748.0,746.3,28.4,10.0,269.5,20.0,10.0,10.0,790.2,10.0,178.3,40.2,10.0,357.3,10.0,10.0,161.8,308.7,55.9,14.7,230.8,173.6,11.4,10.0,549.1,10.0,388.8,247.6,152.1,621.0,258.6,10.0,0
261.8,19.3,10.0,58.4,553.1,10.0,104.5,18.9,10.0,29.5,65.4,104.2,10.0,10.0,232.8,10.0,10.0,10.0,46.7,10.0,425.1,994.5,24.1,267.5,10.0,10.0,353.8,534.8,10.0,123.3,542.2,10.0,10.0,317.8,10.0,10.0,10.0,315.6,105.8,142.1,642.6,313.2,191.5,2646.2,10.0,0
284.8,24.6,10.0,73.3,594.0,10.0,104.0,13.4,10.0,35.0,10.0,188.2,13.1,38.6,38.2,13.2,10.0,11.5,10.0,10.0,206.3,1095.9,10.0,150.2,10.0,10.0,271.2,933.1,40.3,300.2,347.5,161.3,10.0,307.0,10.0,10.0,10.0,255.0,43.5,65.8,3419.2,2168.3,180.7,1962.4,10.0,0
386.4,21.9,10.0,49.0,622.0,10.0,55.4,67.4,10.0,10.0,10.0,208.0,18.9,20.6,43.2,10.0,10.0,62.2,38.0,10.0,249.4,1385.7,10.0,190.1,10.0,10.0,184.6,1097.9,66.8,304.0,555.7,10.0,18.7,302.7,10.0,98.7,28.8,310.3,63.0,64.4,3717.3,2578.5,261.3,2270.1,10.0,0
236.7,589.8,10.0,32.9,673.3,273.5,10.0,39.8,94.3,10.0,22.9,108.3,186.9,469.3,168.5,205.5,28.3,274.6,17.0,75.1,105.1,1050.9,10.0,208.0,1051.7,63.6,132.4,776.4,52.4,299.9,131.6,38.5,33.3,215.9,20.4,23.5,10.0,808.6,10.0,164.9,9579.6,6723.1,592.2,350.5,10.0,0
306.1,77.9,10.0,47.0,688.4,88.6,83.7,10.0,25.1,22.5,102.4,52.9,22.7,730.0,113.1,77.1,10.0,12.2,48.8,10.0,10.0,123.2,10.0,268.5,188.6,45.3,227.2,51.5,32.4,415.3,615.0,148.8,21.6,166.2,10.0,97.3,368.6,487.0,10.0,231.6,1122.8,493.3,239.0,1101.7,10.0,0
524.6,20.4,10.0,26.7,548.5,10.0,101.5,10.0,215.4,10.0,120.9,306.9,10.5,59.6,727.2,11.7,10.0,17.9,22.6,10.0,25.0,1969.7,10.0,193.6,202.0,10.0,300.3,52.6,16.6,134.1,622.8,15.0,10.0,31.9,10.0,10.0,10.0,294.0,60.0,39.1,6348.6,4451.8,441.9,1484.9,10.0,0
201.4,22.5,10.0,70.9,1300.7,48.3,100.5,10.0,21.2,13.5,10.0,77.2,80.3,334.4,77.4,74.1,10.0,247.4,62.1,10.0,39.5,494.8,10.0,10.0,288.7,57.0,418.4,10.0,29.0,157.4,258.1,197.2,76.1,434.3,10.0,10.0,10.0,578.7,10.0,247.9,1336.2,827.1,183.8,744.5,10.0,0
255.1,21.0,10.0,24.0,1129.9,961.4,76.8,10.0,100.3,10.0,79.9,10.0,81.1,878.2,304.7,10.0,10.0,198.1,71.5,20.6,55.7,426.7,58.2,20.8,284.1,76.4,312.6,10.0,47.2,134.5,174.2,66.1,74.1,348.3,198.1,45.9,10.0,734.3,10.0,168.0,6520.0,3943.5,856.4,697.6,10.0,0
