label,39542_at,34690_at,41016_at,34922_at,35182_f_at,38701_at,1039_s_at,1606_at,598_at,33242_at,234_s_at,39591_s_at,39345_at,1427_g_at,31814_i_at,38440_s_at,31342_at,1470_at,1321_s_at,40388_at,1336_s_at,120_at,33441_at,33226_at,1814_at,31773_at,769_s_at,38784_g_at,34281_at,37053_at,32646_at,33580_r_at,661_at,31870_at,1602_at,824_at,39395_at,37918_at,31386_at,925_at,918_at,38115_at,37701_at,38403_at,33825_at,31719_at,33993_at,40483_at,40544_g_at,40476_s_at,33466_at,33352_at,35773_i_at,35151_at,33272_at,34847_s_at,40163_r_at,1747_at,33782_r_at,39721_at,36134_at,2036_s_at,38118_at,32307_s_at,286_at,36753_at,39754_at,40462_at,503_at,37062_at,37402_at,34362_at,41202_s_at,31886_at,330_s_at,36119_at,38967_at,1124_at,39054_at,34443_at,1649_at,1517_at,36881_at,36925_at,41193_at,32321_at,38790_at,1237_at,375_at,1346_at,39572_at,34715_at,40044_at,39829_at,39008_at,38516_at,34674_at,31590_g_at,AFFX-HUMISGF3A/M97935_MA_at,841_at,31834_r_at,166_at,1603_g_at,41275_at,41098_at,36197_at,34768_at,41689_at,1708_at,32109_at,37393_at,35704_at,39364_s_at,36148_at,36993_at,39649_at,38656_s_at,32287_s_at,1704_at,36861_at,39588_at,37588_s_at,40078_at,32849_at,32531_at,311_s_at,38004_at,232_at,424_s_at,33936_at,32680_at,32522_f_at,34666_at,35669_at,184_at,35231_at,2020_at,35714_at,41356_at,31720_s_at,40766_at,33293_at,33131_at,AFFX-M27830_5_at,36617_at,39002_at,915_at,34526_s_at,1988_at,33327_at,37403_at,39268_at,1052_s_at,1558_g_at,37410_at,39356_at,1890_at,38604_at,39696_at,37841_at,41475_at,33942_s_at,36979_at,35917_at,40145_at,37960_at,31330_at,36180_s_at,35297_at,41779_at,37716_at,39166_s_at,36091_at,36921_at,32393_s_at,33303_at,31745_at,37849_at,38407_r_at,38397_at,35185_at,36764_at,31858_at,39341_at,32566_at,614_at,35663_at,37351_at,36703_at,37852_at,39850_at,1942_s_at,1566_at,36040_at,2009_at,34889_at,38121_at,33103_s_at,38248_at,41055_at,1586_at,39242_at,41401_at,35352_at,479_at,41123_s_at,37051_at,38774_at,38391_at,31528_f_at,36927_at,35909_at,37140_s_at,39540_at,1537_at,41734_at,36766_at,33206_at,37782_at,37326_at,33235_at,32030_at,32062_at,39051_at,1709_g_at,39693_at,31996_at,33813_at,32749_s_at,33412_at,1751_g_at,36073_at,40232_at,1562_g_at,2089_s_at,41430_at,40512_at,36101_s_at,38743_f_at,33133_at,32647_at,38286_at,35903_at,41871_at,37099_at,35422_at,38313_at,33829_at,38833_at,40542_at,38370_at,1650_g_at,33033_at,32245_at,32314_g_at,38116_at,1786_at,34316_at,33883_at,40768_s_at,1091_at,32093_at,33901_at,32138_at,37640_at,39038_at,41870_at,32184_at,39388_at,36736_f_at,38545_at,32174_at,34767_at,35649_at,34086_at,1737_s_at,32718_at,280_g_at,37259_at,36834_at,33854_at,755_at,34088_at,36899_at,37360_at,37200_at,32745_at,36115_at,39611_at,35242_at,39775_at,38752_r_at
1,310.9,10.0,10.0,538.5,10.0,10.0,18.0,10.0,146.3,10.0,54.8,387.4,236.0,10.0,10.0,61.8,37.1,194.4,51.0,10.0,10.0,12.3,10.0,18.1,86.8,13.0,3039.3,10.0,10.0,19.3,45.3,80.6,13.0,20.3,10.0,22.2,128.9,15.0,39.7,126.0,14.3,10.0,10.0,23.2,283.7,1424.3,18.0,10.0,10.0,10.3,16.7,21.1,10.8,22.1,10.0,10.0,10.0,35.2,129.3,25.9,113.5,10.0,255.6,129.1,41.6,10.0,17.8,10.0,168.3,13.6,12.7,15.6,16.6,10.0,10.0,111.0,29.3,10.0,33.2,10.0,25.2,74.9,41.9,10.0,118.6,29.0,15.1,37.4,55.5,249.7,10.0,40.8,10.0,10.0,16.5,10.0,49.1,27.3,18.6,10.0,48.4,18.5,22.3,51.4,36.1,200.7,34.5,11.7,10.0,99.8,31.8,13.6,20.6,60.8,21.8,43.6,20.5,10.0,45.4,10.0,10.0,10.0,93.8,10.0,19.8,1734.2,10.0,242.1,10.0,10.0,10.0,10.0,10.5,77.4,138.0,10.9,27.6,10.0,12.0,1851.5,10.0,10.0,60.6,129.8,156.7,69.4,10.0,10.0,165.8,10.0,112.4,181.3,167.9,10.8,24.4,10.0,147.0,12.7,10.0,10.0,10.0,92.7,137.8,98.7,63.0,10.0,824.3,43.9,84.5,10.0,102.2,543.5,15.2,73.3,13.4,10.0,77.2,10.0,10.0,16.3,424.0,30.1,10.0,105.9,137.2,10.0,10.0,272.0,43.9,10.0,10.0,100.0,10.0,26.4,10.0,18.3,188.9,12.5,10.0,10.0,152.2,24.8,49.7,22.0,10.0,563.1,10.0,15.2,17.1,16.4,10.0,72.5,11.8,10.0,169.2,10.0,10.0,13.4,10.0,203.8,10.0,10.0,35.9,10.0,10.0,19.2,32.4,137.8,968.9,935.3,81.0,10.0,45.9,10.0,180.6,10.0,10.0,235.8,33.6,30.8,19.8,23.2,10.0,17.8,26.7,10.0,34.4,47.0,109.2,28.9,10.0,50.0,10.0,45.4,10.0,23.5,115.6,17.0,10.0,10.6,10.0,18.6,13.2,10.0,22.4,88.7,10.0,11.3,16.7,10.0,77.4,144.6,10.0,10.0,10.0,623.5,16.4,1042.2,10.0,10.0,21.5,26.0,59.3,82.0,266.8,33.1,22.4,44.2,21.0,25.3,77.1,294.0
1,2795.7,140.77,140.64,10.0,26.24,102.33,24.8,494.59,148.9,87.24,219.35,10.0,149.16,29.65,47.88,32.67,58.51,101.02,10.0,315.77,567.92,10.89,10.0,51.43,17.06,49.72,247.03,21.12,1789.0,220.27,153.75,77.27,12.33,42.64,115.58,79.9,997.7,26.76,76.75,58.25,99.97,186.81,29.91,10.0,72.55,54.44,71.89,105.35,61.4,16.92,135.13,57.99,10.0,10.0,10.1,322.2,10.0,10.0,302.52,73.2,668.02,10.1,96.56,10.0,88.68,10.0,27.55,10.0,342.01,217.12,83.96,66.25,68.48,10.0,466.38,10.0,134.6,62.84,112.69,37.91,56.94,10.0,72.94,69.53,23.35,159.79,83.83,22.04,99.31,2467.7,39.36,10.0,11.81,107.58,26.63,582.35,169.37,39.23,58.38,20.2,203.48,29.39,110.59,10.0,125.29,20.99,10.0,63.23,236.8,517.68,20.2,67.3,73.86,1455.9,34.37,208.59,17.45,10.0,22.83,10.0,41.19,668.02,10.0,10.0,325.61,15.48,10.0,27.42,10.0,31.75,29.65,176.58,27.42,263.43,41.98,46.44,10.0,39.1,114.92,59.82,93.15,1241.7,10.0,85.01,205.71,15.74,128.3,241.0,29.12,69.53,10.36,55.1,148.51,190.62,84.49,97.74,95.77,88.55,43.69,10.0,10.0,1697.2,276.55,2482.6,10.0,25.06,538.14,25.06,316.3,38.83,402.75,15.61,53.66,172.78,67.3,23.22,107.97,245.72,1526.5,23.75,279.7,248.47,28.47,28.99,66.51,10.0,79.76,62.32,79.11,184.45,78.58,29.65,42.9,70.06,202.03,322.6,52.48,104.82,555.06,92.1,175.93,445.0,35.03,614.62,10.0,107.05,28.73,112.3,37.0,10.1,85.8,10.0,44.47,157.69,97.34,61.53,10.23,245.46,284.55,32.27,113.22,33.59,23.35,355.0,262.64,55.1,10.0,54.84,158.74,233.39,262.25,135.91,45.0,474.51,19.02,219.22,1141.2,10.0,33.06,10.0,128.3,193.11,302.92,19.29,28.21,204.26,213.58,83.83,138.01,70.97,97.21,10.0,431.88,10.0,10.0,11.81,51.95,10.0,10.0,10.0,1445.4,301.08,94.98,1704.0,282.45,10.0,10.0,22.83,379.93,41.98,54.58,66.51,209.38,25.06,141.69,65.73,12.46,88.95,601.77,23.88,234.7,216.07,10.0,438.31,558.48,33.72,44.34,10.0,73.34,45.0,502.72,936.04
1,684.09,28.61,40.66,10.0,70.19,37.97,144.75,23.01,18.33,10.0,627.33,20.94,378.87,32.76,79.32,87.45,68.73,115.75,116.29,201.36,13.81,152.42,109.92,106.09,146.52,11.81,1880.0,54.23,10.0,21.4,90.9,29.76,52.85,49.86,10.0,20.48,452.2,74.1,16.11,229.28,50.63,56.77,54.23,34.83,1060.5,1129.2,117.83,274.85,175.43,62.6,42.11,80.01,10.0,87.91,64.44,24.32,167.61,58.84,179.88,120.05,128.72,50.94,441.31,476.83,95.73,42.19,61.37,123.81,365.44,10.0,57.92,63.13,275.46,63.67,18.79,69.88,42.04,45.95,208.19,67.12,109.46,92.36,58.15,70.96,115.68,190.7,22.48,61.06,13.73,806.06,10.0,129.72,11.2,127.26,16.8,31.76,13.5,234.81,77.02,83.0,23.17,10.0,10.0,52.16,59.91,1131.6,111.46,23.55,39.12,104.32,165.54,29.92,23.93,372.96,440.93,60.14,22.63,10.0,45.64,388.23,67.43,70.11,116.21,55.69,232.05,1743.9,185.25,351.18,393.9,24.39,61.52,10.0,198.52,91.28,65.51,48.33,144.75,30.15,50.09,1610.9,439.7,114.37,363.99,10.0,520.86,118.52,16.26,10.0,115.37,23.17,130.79,16.11,354.78,31.68,95.35,47.64,73.41,10.0,16.72,23.24,37.89,147.44,320.03,239.64,104.63,74.95,1501.9,119.28,86.68,39.74,83.54,933.4,18.03,70.5,19.94,20.87,48.86,20.25,12.12,29.23,1137.2,10.0,19.02,298.02,349.64,42.34,72.18,50.78,10.0,10.0,57.0,151.88,44.34,19.87,24.24,97.88,85.61,36.28,36.21,42.27,656.1,10.0,74.03,252.99,31.37,29.76,25.54,65.28,25.01,15.42,41.81,70.8,26.54,35.13,673.89,33.29,38.74,130.18,16.11,170.76,10.0,29.53,157.33,204.35,33.98,48.4,30.45,139.46,1807.3,679.34,161.32,14.19,91.36,21.17,26.16,68.66,43.72,949.51,141.3,69.04,30.38,83.61,71.11,498.92,125.8,86.38,34.44,10.0,525.15,10.0,52.16,146.13,79.01,88.68,107.24,35.13,68.27,18.18,55.46,49.32,160.32,18.64,108.77,139.38,18.56,49.32,275.08,140.46,33.83,21.86,59.22,70.96,39.51,33.75,31.07,391.6,48.48,82.23,10.0,188.01,27.62,38.36,96.19,25.93,139.99,113.07,32.6,30.99,10.0,14.12,723.68,32.6
1,850.5,83.56,300.7,10.0,23.98,52.61,178.0,30.67,10.0,454.25,274.86,10.0,310.55,23.8,51.77,79.1,50.1,168.98,23.52,119.91,27.51,10.0,95.37,207.37,50.1,57.17,233.49,14.22,29.28,125.02,161.36,44.71,624.35,70.74,10.0,11.9,84.96,58.75,16.55,82.91,44.99,84.77,44.62,12.64,454.99,179.77,96.2,345.96,224.01,79.85,46.01,73.25,10.0,67.95,10.0,24.07,152.35,37.18,164.8,133.57,92.39,14.69,107.36,10.0,83.93,50.1,17.38,198.36,93.51,10.0,26.77,75.85,343.45,10.0,26.49,17.2,60.05,106.71,141.1,26.21,138.68,25.84,10.0,102.34,54.66,239.16,40.71,10.0,35.88,372.17,124.0,369.57,10.0,193.62,28.35,40.53,10.0,37.92,76.13,378.59,55.86,17.48,10.0,78.64,155.88,19.89,101.13,22.59,163.13,28.63,21.1,10.0,24.73,268.16,54.19,59.02,39.97,1122.2,47.96,20.91,34.67,69.81,10.0,38.11,68.41,193.24,81.05,47.87,105.68,48.52,65.16,57.54,26.03,10.0,34.58,95.55,53.45,20.73,85.42,240.84,673.61,173.63,1095.1,10.0,353.31,107.73,105.59,64.6,104.94,10.0,15.9,10.0,158.48,14.97,183.95,84.86,60.98,26.86,105.78,90.63,73.15,440.31,69.25,228.47,287.5,10.0,1727.0,68.13,83.38,83.19,131.06,36.07,15.24,10.0,29.93,22.49,52.05,265.37,62.46,13.11,218.81,10.0,38.95,34.95,62.37,10.0,30.4,10.0,44.43,82.91,39.78,218.99,128.55,30.49,18.78,119.26,64.97,57.82,76.41,60.42,27.51,50.66,174.75,331.93,16.55,10.0,96.3,103.36,17.2,15.06,145.1,128.36,40.62,21.38,208.4,41.08,10.0,226.89,12.36,10.0,10.97,180.51,169.54,54.19,138.87,36.07,30.77,96.02,746.67,108.38,194.73,77.99,90.72,59.67,35.97,104.85,47.5,10.0,373.75,52.42,31.7,127.16,133.01,26.31,17.01,79.66,51.96,45.36,689.6,39.78,72.5,152.72,78.73,111.45,13.11,102.9,116.65,21.29,104.66,135.43,41.74,15.15,10.0,275.97,34.67,22.31,10.0,32.72,40.81,66.0,62.93,57.82,71.48,34.76,19.89,56.14,40.16,60.05,15.34,10.0,48.52,22.22,66.93,216.2,171.96,87.84,40.9,39.13,10.0,77.06,381.47,329.88
1,2608.9,109.38,85.92,29.59,24.08,122.24,14.08,87.75,140.4,53.26,355.91,10.0,142.65,21.84,95.3,10.0,50.0,10.0,12.86,188.77,449.17,13.27,10.0,10.0,14.9,174.08,520.39,10.0,1561.0,207.54,232.24,50.61,13.27,25.1,19.8,44.9,703.24,12.86,10.0,47.75,210.4,85.71,27.55,17.75,60.41,44.08,10.0,114.89,112.85,25.51,115.1,71.22,10.0,10.0,10.0,173.46,137.14,10.0,24.08,10.0,525.08,10.0,97.96,10.0,90.41,30.0,41.63,10.0,135.71,112.24,96.12,157.75,56.12,10.0,152.24,13.06,80.81,79.18,200.61,45.51,56.73,10.0,10.0,181.83,41.02,156.73,40.0,22.24,21.84,1654.2,57.35,10.0,10.0,51.63,22.24,127.14,107.96,54.28,39.18,83.88,64.28,68.77,35.71,20.0,331.21,17.75,10.0,105.51,229.18,108.57,11.43,94.9,53.67,1454.8,22.65,168.97,10.0,52.86,41.43,10.0,31.43,406.92,10.0,10.0,271.21,38.37,10.0,23.26,23.67,35.71,83.47,59.59,32.45,211.83,53.06,83.47,47.96,17.55,95.51,90.0,144.08,750.99,96.94,25.71,222.65,10.0,62.86,143.26,130.81,291.83,10.0,10.0,75.3,112.85,35.31,60.2,33.67,126.32,23.26,22.65,10.0,1503.2,134.69,2025.2,10.0,14.49,421.01,10.0,135.51,47.75,269.99,12.24,32.45,83.67,31.43,47.96,83.47,235.09,1345.3,10.0,219.58,132.44,25.51,52.86,42.04,10.0,77.55,10.0,67.35,133.46,122.04,29.39,88.77,72.04,79.18,252.44,18.37,127.75,365.7,76.32,157.75,237.54,18.16,457.94,11.63,364.89,45.31,126.53,42.65,10.0,77.75,10.0,65.71,50.61,48.98,51.22,12.65,182.85,199.58,27.75,86.12,10.0,236.32,329.58,150.61,27.55,24.9,38.16,179.18,114.28,170.2,89.18,10.0,127.55,54.28,179.59,800.38,10.0,13.88,10.0,75.1,265.3,302.44,28.98,14.29,215.3,305.7,60.2,250.6,32.86,111.63,10.0,227.13,10.0,10.0,10.0,47.96,10.0,10.0,10.0,863.44,238.77,63.47,1454.8,125.71,10.0,10.0,38.16,221.22,10.0,19.39,149.38,140.4,20.82,94.28,14.9,18.16,30.2,305.91,10.0,89.79,174.48,118.98,210.6,352.44,40.61,10.0,10.0,87.55,60.81,324.89,550.18
1,240.16,17.91,17.59,10.0,37.89,10.0,224.44,66.62,91.09,24.78,116.7,21.55,668.94,61.0,40.5,59.96,121.8,310.01,162.39,511.96,27.69,57.57,110.55,39.35,130.02,82.97,2538.7,73.49,10.0,29.77,68.91,10.0,31.54,81.41,10.0,28.94,162.39,163.64,66.73,357.16,107.01,50.18,300.74,66.0,1039.0,1129.6,124.61,24.26,10.0,21.76,38.41,105.97,10.0,84.53,295.95,53.51,64.54,65.79,10.0,61.31,110.24,206.53,592.32,631.88,281.8,33.83,88.28,75.16,137.72,13.95,360.39,99.52,221.94,30.71,61.63,261.08,14.05,42.26,79.12,13.33,203.41,10.41,22.59,166.25,70.58,247.24,45.39,126.48,27.48,628.55,10.0,10.0,10.0,239.01,245.05,28.32,10.0,443.67,141.57,36.64,10.0,11.87,28.32,39.66,194.04,1434.7,137.1,50.38,56.84,72.04,101.18,56.21,133.77,435.13,109.2,104.62,19.36,10.0,69.02,235.58,32.69,48.51,180.4,20.51,311.26,1705.2,10.0,144.91,141.05,45.6,36.96,28.11,330.51,82.34,161.56,86.51,32.38,111.49,28.32,1738.4,282.11,149.59,94.73,10.0,1194.7,82.76,61.63,10.0,10.0,203.2,290.44,10.0,410.88,36.33,62.36,21.03,170.2,29.88,18.43,16.76,19.05,265.77,432.01,492.28,13.12,127.42,722.76,186.96,39.14,76.1,90.36,536.11,33.1,135.43,10.0,38.93,61.0,30.92,417.13,16.86,352.79,19.15,28.32,345.82,196.96,101.08,10.0,224.75,10.0,10.0,43.93,124.29,46.85,313.03,40.39,112.64,175.93,47.16,78.07,46.53,593.16,25.82,49.55,98.89,42.06,217.46,39.35,61.31,131.89,98.27,135.75,29.88,38.41,38.0,87.44,21.65,39.66,128.77,28.32,513.42,23.42,52.26,33.1,37.27,50.7,56.84,62.46,247.76,2352.0,537.88,141.05,63.61,90.15,26.03,15.82,54.55,41.54,651.97,68.71,31.23,49.86,105.35,79.43,448.56,103.16,13.64,162.5,96.08,608.25,32.69,112.01,355.19,62.77,22.8,71.62,10.0,75.37,10.0,27.48,31.23,13.43,33.21,67.25,99.52,53.2,70.16,300.12,27.79,37.27,54.13,69.33,142.82,39.45,23.84,15.09,260.77,87.34,81.09,20.09,23.84,63.71,89.32,11.35,50.9,222.04,166.56,25.61,14.57,18.95,49.97,2712.6,146.47
1,347.71,28.58,61.91,10.0,12.77,43.38,278.79,29.44,95.55,28.81,1430.1,15.65,754.52,54.9,70.55,78.11,55.6,170.23,96.64,66.82,16.28,49.06,10.0,53.42,106.06,76.78,2353.0,120.78,10.0,36.37,42.91,10.0,203.02,147.81,58.72,49.37,47.74,114.63,48.52,442.09,49.76,129.19,131.92,80.21,2281.2,944.07,77.49,775.0,216.96,40.11,29.98,142.2,50.54,175.68,65.88,57.55,18.07,37.61,128.26,43.77,72.89,81.77,793.3,176.85,248.03,99.91,83.48,12.3,550.26,22.82,90.41,128.8,286.58,91.11,42.52,47.74,88.0,13.71,399.26,57.24,163.77,10.0,58.41,94.23,226.3,233.31,73.67,113.07,23.67,3126.6,10.0,38.16,49.53,185.96,25.47,29.59,143.13,178.95,16.12,114.01,19.0,30.99,33.56,46.88,60.51,889.71,184.56,39.25,53.34,370.45,97.34,97.42,35.74,363.52,137.68,99.45,56.07,50.85,31.07,37.38,67.44,10.0,18.85,56.15,636.39,746.11,15.26,128.8,23.6,67.36,46.96,26.17,374.11,159.72,41.43,76.78,32.24,51.01,16.12,958.48,335.33,99.06,89.95,27.33,280.35,10.0,44.54,10.0,57.47,12.77,262.44,56.07,669.72,26.56,74.06,22.04,119.23,16.82,50.23,127.32,111.44,169.3,309.24,200.45,22.58,116.11,1327.1,59.18,173.97,105.13,58.09,433.14,100.85,131.06,53.5,70.4,12.07,186.74,461.64,116.19,978.64,25.15,63.7,383.84,202.32,10.0,333.61,78.42,29.2,10.0,65.18,141.42,28.35,89.87,20.33,106.77,69.62,102.79,26.17,49.06,248.65,10.0,341.4,305.89,45.17,17.6,95.71,91.81,146.4,90.57,97.5,69.15,10.0,24.22,356.98,30.14,123.51,297.4,26.48,151.62,28.81,18.92,200.76,22.43,54.67,74.21,10.0,241.25,1013.8,812.46,53.34,119.77,10.0,18.22,18.46,57.78,143.21,263.92,106.92,46.73,58.17,278.4,74.92,493.64,236.97,45.56,68.69,137.6,915.64,39.87,65.65,273.73,55.76,45.17,35.51,35.43,85.19,55.37,40.81,35.04,101.7,22.97,76.94,116.81,24.69,26.17,400.12,224.59,85.04,76.47,76.47,31.54,73.05,10.0,37.85,143.91,85.82,103.49,11.14,470.75,60.51,42.68,124.21,82.55,124.21,216.41,30.92,50.46,30.92,34.11,1058.5,525.96
1,642.96,10.0,10.0,10.0,13.42,10.0,146.43,72.25,22.62,10.0,432.46,12.58,1090.7,59.92,10.0,87.69,47.69,213.95,151.41,107.95,12.91,51.91,117.91,73.09,125.84,24.48,2820.3,141.96,10.0,18.32,21.1,10.0,11.73,93.94,29.12,61.78,221.97,103.05,82.54,565.39,13.5,49.63,154.7,48.36,1830.4,926.2,74.02,22.03,10.0,18.91,10.0,25.49,119.26,141.62,73.93,27.43,15.28,69.21,253.45,49.29,26.59,74.19,764.15,462.93,91.83,64.82,65.24,10.0,574.51,12.49,177.75,125.42,146.77,119.17,56.55,149.3,46.08,10.0,192.35,13.84,124.91,10.0,82.71,10.0,135.46,238.77,10.0,99.59,57.14,1121.6,14.94,27.43,10.0,216.48,121.45,36.71,10.0,149.39,66.09,15.53,11.9,17.81,46.93,55.11,21.69,1480.6,156.22,20.51,37.9,61.95,66.59,36.8,42.45,546.57,101.03,102.88,26.84,10.0,48.7,147.87,37.31,10.0,221.3,21.27,150.4,1128.4,10.0,161.62,77.56,24.9,10.55,10.0,108.96,10.0,51.91,48.11,98.66,26.16,12.83,1304.6,650.21,112.42,96.47,10.0,808.12,44.56,31.99,10.0,93.26,10.0,187.7,10.0,455.08,19.58,20.34,11.06,469.68,12.07,81.28,18.99,67.86,104.82,296.33,229.14,12.41,74.19,2012.6,68.95,182.22,89.3,32.16,974.31,76.55,120.27,48.53,22.45,21.44,19.67,31.23,153.19,1166.7,10.0,18.57,326.2,246.78,10.0,10.0,311.27,35.28,10.0,17.3,149.39,10.0,38.66,46.67,64.31,155.72,37.05,22.28,10.0,802.98,32.07,245.1,38.74,107.44,33.34,21.69,60.43,111.15,13.93,53.51,66.93,10.0,33.84,64.48,58.07,115.04,10.0,20.26,259.7,10.13,35.7,46.93,10.0,34.69,54.18,30.38,216.23,1561.8,1061.6,86.17,10.0,43.97,10.0,10.0,45.75,11.65,177.83,77.9,50.39,22.45,38.57,10.0,505.55,163.31,10.0,10.55,64.48,717.82,15.53,39.08,197.33,43.47,38.23,52.83,20.34,80.77,12.41,27.35,21.94,10.0,46.93,90.98,92.76,32.75,64.73,380.56,110.14,16.46,30.38,29.46,106.6,14.1,10.0,39.25,177.75,41.02,45.32,10.0,53.68,49.04,48.87,11.56,64.57,209.14,212.01,23.38,39.33,23.55,35.03,2188.6,627.68
